"Month","Min","5%","10%","25%","30%","50%","Mean"
"1","Jan",-49,-21.9,-17,-10.7,-9.3,-6.2,-8.1
"2","Feb",-45,-15.1,-11.6,-7.5,-6.6,-4.4,-5.8
"3","Mar",-25.5,-9.9,-7.4,-5.1,-4.6,-3.2,-3.9
"4","Apr",-14.7,-8.6,-7.6,-5.7,-5.3,-3.8,-4.2
"5","May",-21.3,-13.1,-11.4,-8.4,-7.7,-5.5,-6.2
"6","Jun",-43,-23.5,-19.9,-14.9,-13.4,-10.1,-11.2
"7","Jul",-58.7,-39.2,-32.5,-22.9,-21.4,-16.4,-18.5
"8","Aug",-57.5,-46.7,-39.8,-28.3,-26.2,-19.7,-21.5
"9","Sep",-58.1,-49.6,-43.8,-34.6,-32.3,-23.8,-25.2
"10","Oct",-55,-42,-36.8,-29,-27.1,-20.6,-20.8
"11","Nov",-54.9,-38,-29.1,-21.1,-19.4,-13.6,-15.2
"12","Dec",-58.3,-35.3,-29.5,-17,-14.3,-9.3,-12.8
