"discharge","bg_fry","bg_juv","bg_adult","cc_fry","cc_juv","cc_spawn","cc_adult","gd_juv","gd_spawn","gd_adult","gs_fry","gs_juv","gs_spawn","gs_adult","smb_fry","smb_juv","smb_spawn","smb_inc","smb_adult","ws_fry","ws_juv","ws_spawn","ws_adult"
"X1",500,4437,3546,5436,158106,20033,9653,31014,72684,14681,45461,12268,30187,39917,26627,20174.1082,29387.21213,38736.36789,40105.87578,52483.18627,9356.99516,74609.29901,40083.11496,115038.1486
"X2",600,5914,7055,4498,195866,21127,8084,29744,84367,15436,51230,19657,28182,38667,25304,18968.89328,42284.94358,42544.35011,38313.12495,54059.23592,13666.62158,126141.4552,53311.28607,146514.4053
"X3",700,7292,10644,4100,233937,24235,6803,30008,95181,16403,57565,27554,26363,38987,23981,17169.37174,56192.93274,46352.33233,36520.37413,53862.09235,17976.248,178526.9493,66567.04436,179626.0625
"X4",800,10676,20044,4158,278721,27750,5964,29267,101232,17459,61624,35794,25008,41641,22289,15275.30127,74020.07657,50438.56352,34731.27191,54956.19478,25339.06571,227819.3565,79991.5754,208082.9646
"X5",900,16339,35897,4454,301131,31770,6467,28097,99054,18619,60791,52737.64019,23413,49507,20555,19414.20999,102248.8145,58597.07243,36196.61289,54114.34732,44333.35817,247049.6056,97801.61401,234301.4296
"X6",1000,22441,52786,6242,323490,35790,6615,26819,97723,18994,61039,73167.54125,21485,58671,19300,20492.56005,132993.2553,68530.94328,36545.35845,52966.9806,63327.65063,266279.8547,116621.6544,260019.0911
"X7",1250,38747,86157,12081,367317,39858,5970,25628,90548,21660,58578,118213.8555,19289,100582,17021,33693.14978,190851.3195,108561.4757,39716.49753,56764.61488,113854.7339,294645.9981,143340.0597,296562.8014
"X8",1500,55204,105784,21531,394895,43211,5170,29353,80770,24125,54838,153687.092,17900,153630,14879,57032.96287,228910.4517,157496.6535,44379.62993,65121.40911,159621.625,309300.7917,148761.4656,311741.0526
"X9",1750,69336,109644,33877,403448,46558,7572,33529,65076,24521,52470,177526.1417,18773,203216,16091,88576.71319,241749.2142,203891.121,50985.48109,80406.55672,187933.0897,323541.5631,131181.9465,325001.3715
"X10",2000,77976,105765,49457,412081,49766,11490,39905,53930,26066,56041,195084.4552,22716,234885,20767,121898.6441,246746.4829,243990.2556,62337.2716,93709.15039,199655.2735,331608.4815,109958.7326,337417.6176
"X11",2500,75602,100820,86421,421479,53988,29047,51056,37608,22328,45468,211222.2715,40343,249912,38307,169979.1125,257344.3599,267767.9749,90991.58173,123550.0612,203291.5813,338871.0473,84259.01388,352100.1925
"X12",2790,76170,101916,107972,434317,57809,47472,59991,33024,20550,40196,212825.8265,56462,251186,53769,186568.1295,264514.226,271871.8574,111276.6072,142190.4356,204664.0863,340686.1871,76290.47991,361194.8114
