"ftype","GW_wsp2020_MGY","GW_wsp2020_MGD"
"wsp_plan_system-ssusm",2977.824,8.15842191780822
"wsp_plan_system-ssusm",2255.9604,6.18071342465753
"wsp_plan_system-ssusm",1702.787,4.6651698630137
"wsp_plan_system-ssusm",1606,4.4
"wsp_plan_system-ssusm",1504.1268,4.12089534246575
"wsp_plan_system-ssusm",1410.9141,3.86551808219178
"wsp_plan_system-ssusm",1215,3.32876712328767
"wsp_plan_system-ssusm",1181,3.23561643835616
"wsp_plan_system-ssusm",1146.1,3.14
"wsp_plan_system-ssusm",1130,3.0958904109589
"wsp_plan_system-ssusm",1127.85,3.09
"wsp_plan_system-ssusm",1102.41,3.02030136986301
"wsp_plan_system-ssusm",1053.76,2.88701369863014
"wsp_plan_system-ssusm",942.5,2.58219178082192
"wsp_plan_system-ssusm",931.584,2.55228493150685
"wsp_plan_system-ssusm",913.6,2.50301369863014
"wsp_plan_system-ssusm",870.785,2.38571232876712
"wsp_plan_system-ssusm",861.4,2.36
"wsp_plan_system-ssusm",856.65,2.34698630136986
"wsp_plan_system-ssusm",759.5,2.08082191780822
"wsp_plan_system-ssusm",708.732,1.94173150684932
"wsp_plan_system-ssusm",705.299,1.93232602739726
"wsp_plan_system-ssusm",689,1.88767123287671
"wsp_plan_system-ssusm",670.6291,1.83734
"wsp_plan_system-ssusm",634.62,1.73868493150685
"wsp_plan_system-ssusm",623.5788,1.70843506849315
"wsp_plan_system-ssusm",601.14,1.64695890410959
"wsp_plan_system-ssusm",584.365,1.601
"wsp_plan_system-ssusm",574.7624,1.57469150684932
"wsp_plan_system-ssuag",525.746610008289,1.44040167125559
"wsp_plan_system-ssusm",520.49,1.426
"wsp_plan_system-ssusm",502,1.37534246575342
"wsp_plan_system-ssusm",492.02,1.348
"wsp_plan_system-ssusm",487.872,1.33663561643836
"wsp_plan_system-ssusm",475.33,1.30227397260274
"wsp_plan_system-ssusm",472.1,1.29342465753425
"wsp_plan_system-ssusm",449.07,1.23032876712329
"wsp_plan_system-ssusm",426.2885,1.16791369863014
"wsp_plan_system-ssusm",425.117,1.16470410958904
"wsp_plan_system-ssusm",421.352,1.15438904109589
"wsp_plan_system-ssusm",412.45,1.13
"wsp_plan_system-ssuag",410.5930558283,1.12491248172137
"wsp_plan_system-ssusm",404.4602,1.1081101369863
"wsp_plan_system-ssusm",401.13,1.09898630136986
"wsp_plan_system-ssusm",395.876,1.08459178082192
"wsp_plan_system-ssusm",388,1.06301369863014
"wsp_plan_system-ssuag",385.675721536854,1.05664581242974
"wsp_plan_system-ssusm",385,1.05479452054795
"wsp_plan_system-ssusm",384.71,1.054
"wsp_plan_system-ssusm",379.77,1.04046575342466
"wsp_plan_system-ssusm",378.14,1.036
"wsp_plan_system-ssusm",370.2159,1.0142901369863
"wsp_plan_system-ssusm",368.65,1.01
"wsp_plan_system-ssusm",365.7301,1.0020002739726
"wsp_plan_system-ssusm",359.1,0.983835616438356
"wsp_plan_system-ssusm",343.1,0.94
"wsp_plan_system-ssusm",336.895,0.923
"wsp_plan_system-ssusm",325.79,0.892575342465753
"wsp_plan_system-ssusm",315.73,0.865013698630137
"wsp_plan_system-ssusm",305.145,0.836013698630137
"wsp_plan_system-ssusm",304.7,0.834794520547945
"wsp_plan_system-ssusm",304.248,0.833556164383562
"wsp_plan_system-ssusm",301.5995,0.8263
"wsp_plan_system-ssusm",283.3,0.776164383561644
"wsp_plan_system-cws",279.164016235828,0.76483292119405
"wsp_plan_system-ssusm",278.528,0.763090410958904
"wsp_plan_system-ssusm",277.1362,0.759277260273973
"wsp_plan_system-ssusm",275.79,0.75558904109589
"wsp_plan_system-ssusm",263.89,0.722986301369863
"wsp_plan_system-ssusm",263.64,0.722301369863014
"wsp_plan_system-ssusm",260.886,0.714756164383562
"wsp_plan_system-ssusm",259.004,0.7096
"wsp_plan_system-ssusm",254.3,0.696712328767123
"wsp_plan_system-ssuag",252.687861174038,0.692295510065857
"wsp_plan_system-ssusm",251.49,0.689013698630137
"wsp_plan_system-ssusm",242.3982,0.664104657534247
"wsp_plan_system-ssusm",234.22,0.641698630136986
"wsp_plan_system-ssusm",231.775,0.635
"wsp_plan_system-ssuag",227.855530322098,0.624261726909856
"wsp_plan_system-ssusm",221.76,0.607561643835616
"wsp_plan_system-ssusm",219.8113,0.602222739726027
"wsp_plan_system-ssusm",217.944,0.597106849315068
"wsp_plan_system-ssusm",202.59,0.555041095890411
"wsp_plan_system-ssusm",196,0.536986301369863
"wsp_plan_system-ssusm",190.476,0.521852054794521
"wsp_plan_system-ssusm",189.8,0.52
"wsp_plan_system-ssusm",184.8,0.506301369863014
"wsp_plan_system-ssusm",177.97,0.48758904109589
"wsp_plan_system-ssusm",171.975,0.471164383561644
"wsp_plan_system-ssusm",168.9422,0.462855342465753
"wsp_plan_system-ssusm",163.8,0.448767123287671
"wsp_plan_system-ssuag",163.04597674042,0.446701306138138
"wsp_plan_system-ssusm",138.4,0.379178082191781
"wsp_plan_system-ssuag",122.866365750473,0.336620180138283
"wsp_plan_system-ssusm",119.247,0.326704109589041
"wsp_plan_system-ssuag",115.86,0.317424657534247
"wsp_plan_system-ssusm",111.5441,0.305600273972603
"wsp_plan_system-ssusm",102.53,0.280904109589041
"wsp_plan_system-ssusm",97.8,0.267945205479452
"wsp_plan_system-ssusm",97.5,0.267123287671233
"wsp_plan_system-ssuag",95.9114307915862,0.26277104326462
"wsp_plan_system-ssusm",62.415,0.171
"wsp_plan_system-ssuag",60.7879657730908,0.166542371981071
"wsp_plan_system-cws",58.7560019503959,0.160975347809304
"wsp_plan_system-ssuag",56.1759303577975,0.153906658514514
"wsp_plan_system-cws",54.5546982084812,0.149464926598579
"wsp_plan_system-ssuag",52.6655784909138,0.14428925613949
"wsp_plan_system-ssusm",52.195,0.143
"wsp_plan_system-cws",50.4200833567256,0.13813721467596
"wsp_plan_system-cws",48.9587833254541,0.13413365294645
"wsp_plan_system-ssusm",46.38,0.127068493150685
"wsp_plan_system-ssusm",43.7,0.11972602739726
"wsp_plan_system-ssuag",39.0874425017025,0.107088883566308
"wsp_plan_system-ssusm",39,0.106849315068493
"wsp_plan_system-ssuag",37.7750255509868,0.103493220687635
"wsp_plan_system-ssuag",35.2271081391372,0.0965126250387321
"wsp_plan_system-ssuag",29.3400627887977,0.080383733667939
"wsp_plan_system-ssusm",28.54,0.0781917808219178
"wsp_plan_system-ssusm",28.236,0.077358904109589
"wsp_plan_system-ssulg",28.1814224640218,0.0772093766137585
"wsp_plan_system-ssuag",27.2151205573836,0.074561974129818
"wsp_plan_system-ssusm",25.185,0.069
"wsp_plan_system-cws",24.7105,0.0677
"wsp_plan_system-cws",23.3994609295481,0.0641081121357482
"wsp_plan_system-ssusm",20.805,0.057
"wsp_plan_system-cws",15.807301886332,0.0433076764009096
"wsp_plan_system-ssuag",15.3525192377014,0.0420616965416478
"wsp_plan_system-ssuag",15.1866354339264,0.0416072203669218
