"MP_hydroid","Facility_hydroid","Latitude","Longitude","fips_code","ftype","wsp_2020_GW","GWP_permit"
473,66848,37.304055555556,-76.934444444444,51036,"municipal",6.169,"GWP"
476,66848,37.315055555556,-76.936333333333,51036,"municipal",0,"GWP"
399085,66848,37.304106,-76.934440580556,51036,"municipal",0,"GWP"
399088,66848,37.304039277778,-76.934207788889,51036,"municipal",0,"GWP"
1428,66849,36.942833333333,-77.397555555556,51183,"municipal",0.394897203326268,"GWP"
1453,66849,36.946666666667,-77.393444444444,51183,"municipal",12.1918635710689,"GWP"
1454,66849,36.947,-77.391916666667,51183,"municipal",10.2596316728274,"GWP"
1455,66849,36.943777777778,-77.400138888889,51183,"municipal",0.00260755277740014,"GWP"
64686,66850,89.999998477547,-9.84375,51149,"municipal",0,"GWP"
192793,66850,37.074936108124,-77.357775270939,51149,"municipal",0,"GWP"
192795,66850,37.074952367063,-77.357737720013,51149,"municipal",0,"GWP"
192797,66850,37.077127430682,-77.360079288483,51149,"municipal",0,"GWP"
192799,66850,37.076438369282,-77.360873222351,51149,"municipal",0,"GWP"
414198,66852,38.020778,-76.506028,51133,"commercial",1.5,"GWP"
826,66853,37.348694444444,-76.758888888889,51095,"commercial",0,"GWP"
827,66853,37.348694444444,-76.758888888889,51095,"commercial",0,"GWP"
1470,66853,37.348416666667,-76.745777777778,51095,"commercial",0,"GWP"
1471,66853,37.348416666667,-76.745777777778,51095,"commercial",0,"GWP"
1472,66853,37.347833333333,-76.750611111111,51095,"commercial",0,"GWP"
883,66856,37.821952777778,-77.143333333333,51101,"municipal",1.76724565426351,"GWP"
67530,66856,37.822286111111,-77.143819444444,51101,"municipal",1.96275434573649,"GWP"
1123,66861,37.476361111111,-75.862333333333,51131,"commercial",0,"GWP"
1127,66861,37.475583333333,-75.865194444444,51131,"commercial",0,"GWP"
1257,66862,37.495171158333,-75.879707277778,51131,"irrigation",0,"GWP"
1328,66863,36.725277777778,-77.253891666667,51175,"municipal",0,"GWP"
1329,66863,36.725277777778,-77.256111111111,51175,"municipal",0,"GWP"
1341,66863,36.724325,-77.247836111111,51175,"municipal",12.277030331814,"GWP"
1354,66863,36.725141666667,-77.256313888889,51175,"municipal",23.1500499741269,"GWP"
1356,66863,36.715419444444,-77.259905555556,51175,"municipal",7.67294237735073,"GWP"
1357,66863,36.736155555556,-77.254019444444,51175,"municipal",2.11354936805767,"GWP"
1364,66863,36.728555555556,-77.243166666667,51175,"municipal",0,"GWP"
1365,66863,36.728833333333,-77.243166666667,51175,"municipal",32.7864279486507,"GWP"
1368,66863,36.715861111111,-77.260027777778,51175,"municipal",0,"GWP"
63264,66880,38.786111111111,-77.058333333333,51059,"commercial",1.04608455897795,"GWP"
