"Facility_hydroid","Latitude","Longitude","fips_code","fac_value","ftype","wsp_2020_GW","GWP_permit"
66974,37.080166666667,-76.902944444444,51181,0,"municipal",0,"GWP"
66976,36.846055555556,-76.819169444444,51093,0,"municipal",0,"GWP"
66977,36.749340638889,-76.288544372222,51550,0,"commercial",0,"GWP"
66979,36.802241666667,-76.378077777778,51740,0,"commercial",0,"GWP"
66981,37.494972222222,-75.956777777778,51131,2.92,"commercial",2.92,"GWP"
66982,38.706111111111,-77.0875,51059,6.93,"municipal",6.92999999999997,"GWP"
66987,38.020555555556,-77.340444444444,51033,19.39,"municipal",19.3900000000004,"GWP"
66988,36.986666666667,-76.615,51093,277.31,"municipal",277.309999999996,"GWP"
66991,36.900166666667,-77.086722222222,51183,0,"agriculture",0,"GWP"
66992,38.2330555556,-76.9611111111,51193,179.02,"municipal",179.019999999997,"GWP"
66996,37.110472222222,-77.044555555556,51181,25.55,"agriculture",25.55,"GWP"
66998,37.840136111111,-76.277283333333,51133,7.1,"municipal",7.1,"GWP"
67000,37.624444444444,-77.377777777778,51085,0,"commercial",0,"GWP"
67001,37.438354208333,-77.128374108333,51036,0.219,"commercial",0.219,"GWP"
67002,37.48225,-75.791861111111,51001,0,"municipal",0,"GWP"
67004,37.941230555556,-76.339063888889,51133,1.9,"commercial",1.9,"GWP"
67009,37.728361111111,-75.664055555556,51001,0,"municipal",0,"GWP"
67010,37.545633333333,-76.810013888889,51101,0,"industrial",0,"GWP"
67011,37.2225,-76.951388888889,51181,8,"municipal",8,"GWP"
67012,36.585111111111,-77.204472222222,51175,0,"industrial",0,"GWP"
67016,37.889305555556,-75.56275,51001,467,"industrial",467,"GWP"
67017,37.092777777778,-76.483638888889,51700,0,"commercial",0,"GWP"
67018,37.471666666667,-77.025833333333,51127,83.526,"commercial",83.526,"GWP"
67020,99,-99,51001,0,"irrigation",0,"GWP"
67021,37.169611111111,-75.982194444444,51131,0,"municipal",0,"GWP"
67022,37.428590950267,-76.321844654176,51115,3.59,"commercial",3.59,"GWP"
67023,37.504262752778,-77.080850266667,51127,51.201,"municipal",51.201,"GWP"
67024,37.608541,-76.602853,51119,14.443,"municipal",14.443,"GWP"
67026,38.244515684879,-76.972669315432,51193,3.5378,"municipal",3.53779999999997,"GWP"
67030,37.143888888889,-77.358333333333,51149,14,"municipal",14,"GWP"
67031,37.131127777778,-76.510858333333,51700,13.505,"industrial",13.505,"GWP"
67037,37.553645097222,-77.057217819444,51127,2.49,"municipal",2.49,"GWP"
67038,37.373916666667,-75.974666666667,51131,0,"irrigation",0,"GWP"
67041,37.492658333333,-76.863197222222,51127,34.475,"municipal",34.475,"GWP"
67045,37.191275,-76.510663888889,51700,6602.0702,"municipal",332.061478712535,"GWP"
67050,37.601977777778,-75.826508333333,51001,68.8,"irrigation",29.9580278647606,"GWP"
67051,38.6825,-77.193055555556,51059,26.64,"commercial",19.7152620113971,"GWP"
67052,37.439166666667,-76.678333333333,51101,6042.89,"manufacturing",6018.90441966447,"GWP"
67053,37.003532,-77.032756,51183,0,"agriculture",0,"GWP"
67054,37.399977777778,-75.926305555556,51131,0,"irrigation",0,"GWP"
67055,37.619639208333,-77.245434791667,51085,4.745,"municipal",4.745,"GWP"
67058,99,-99,51149,0,"municipal",0,"GWP"
67059,38.149553,-76.67226,51193,21.1985,"municipal",21.1985,"GWP"
67060,37.890333,-76.348433,51133,2.6,"municipal",2.6,"GWP"
67061,37.412777777778,-76.744166666667,51095,4.38,"municipal",4.38,"GWP"
67062,37.697777777778,-77.355,51085,5.3655,"municipal",5.3655,"GWP"
67063,37.655906,-76.420339,51103,23.5456,"municipal",23.5456,"GWP"
67071,36.612666666667,-76.181527777778,51550,103.992,"municipal",103.992,"GWP"
67073,37.951828,-76.519723,51133,3,"municipal",3,"GWP"
67075,36.910833333333,-77.034444444444,51183,0,"commercial",0,"GWP"
67079,37.045833333333,-76.935,51181,6.558,"municipal",6.558,"GWP"
67081,37.654083333333,-75.731,51001,0,"agriculture",0,"GWP"
67083,37.942388888889,-75.455722222222,51001,190.7,"municipal",190.7,"GWP"
67084,37.709166666667,-75.741666666667,51001,34.18,"municipal",34.18,"GWP"
67085,37.539175,-77.203947222222,51127,3.91,"municipal",3.91,"GWP"
67090,37.882442,-76.293068,51133,4.531,"municipal",4.531,"GWP"
67092,37.97221,-76.897964,51057,6.634,"municipal",6.634,"GWP"
67093,37.6547,-77.361897222222,51085,31.43,"commercial",31.43,"GWP"
67095,37.671668055556,-77.335558055556,51085,21.9,"commercial",21.9,"GWP"
67096,36.88825,-76.176527777778,51810,0,"industrial",0,"GWP"
67100,37.7272222222,-77.0216666667,51097,6.578,"commercial",6.57800000000006,"GWP"
67103,38.030555555556,-76.583333333333,51193,3.9342,"municipal",3.9342,"GWP"
67104,37.293777777778,-77.211472222222,51149,23,"municipal",23,"GWP"
67105,37.862352777778,-76.431647222222,51133,2.8,"municipal",2.8,"GWP"
67108,37.515109722222,-75.834184444444,51131,36.87,"irrigation",36.87,"GWP"
67112,36.9075,-76.899138888889,51175,18,"municipal",18,"GWP"
67117,36.657280555556,-76.970397222222,51175,0,"municipal",0,"GWP"
67122,37.761347222222,-77.140502777778,51101,7.226,"municipal",11.4506253672477,"GWP"
67127,38.021762522222,-76.596838747222,51193,0,"commercial",0,"GWP"
67130,37.913447222222,-76.4374,51133,0,"commercial",0,"GWP"
67131,36.594388888889,-76.933416666667,51175,24.15,"commercial",24.15,"GWP"
67132,37.271388888889,-76.706666666667,51830,408,"commercial",407.999999999999,"GWP"
67138,37.8341666667,-77.3291666667,51033,5.58,"municipal",5.58,"GWP"
67140,36.569472222222,-76.250611111111,51550,39.89,"commercial",39.89,"GWP"
67143,37.938333333333,-76.3575,51133,1.071,"municipal",1.071,"GWP"
67145,36.633166666667,-76.932333333333,51175,61,"irrigation",61,"GWP"
67150,37.410597675,-76.937882880556,51127,3.19,"commercial",3.19,"GWP"
67152,37.289361111111,-76.012055555556,51131,5.84,"commercial",5.84,"GWP"
67153,37.934527777778,-75.4705,51001,25.35,"commercial",25.35,"GWP"
67155,37.615558333333,-75.806916666667,51001,10,"irrigation",5.39237643178678,"GWP"
67157,36.685152777778,-77.0253,51175,0,"commercial",0,"GWP"
67158,37.592222222222,-77.324166666667,51085,5.84,"commercial",5.84,"GWP"
67160,36.864444444444,-76.003527777778,51810,0,"commercial",0,"GWP"
67165,36.614341666667,-76.191547222222,51550,0,"irrigation",0,"GWP"
67168,37.647739225,-77.335681680556,51085,5.11,"municipal",5.11,"GWP"
67170,37.141666666667,-76.841111111111,51181,12.752,"municipal",12.752,"GWP"
67171,37.558944444444,-77.269944444444,51085,0,"irrigation",0,"GWP"
67172,37.6125,-76.5480555556,51119,1.754,"municipal",2.51076033776868,"GWP"
67180,37.354736111111,-75.943913888889,51131,16.79,"municipal",16.79,"GWP"
67182,37.158611111111,-77.286527777778,51149,16,"industrial",16,"GWP"
67184,38.0566666667,-77.3466666667,51033,53.33,"municipal",53.33,"GWP"
67185,36.775847222222,-76.5425,51800,24.09,"industrial",24.09,"GWP"
67189,37.687722222222,-75.659916666667,51001,0,"irrigation",0,"GWP"
67190,37.5355,-75.8967,51131,0,"irrigation",0,"GWP"
67191,37.062538888889,-76.676697222222,51093,0,"municipal",0,"GWP"
67192,37.027777777778,-76.604444444444,51093,0,"municipal",0,"GWP"
67193,36.775222222222,-76.982361111111,51175,0,"commercial",0,"GWP"
67194,36.584722222222,-77.1975,51175,27,"municipal",27,"GWP"
67195,36.680805555556,-76.922861111111,51620,293.417,"municipal",293.417000000002,"GWP"
67196,37.601413888889,-77.346722222222,51085,4.38,"commercial",4.38,"GWP"
67197,36.930333333333,-77.037277777778,51183,0,"agriculture",0,"GWP"
67199,37.785027777778,-75.650222222222,51001,26.96,"municipal",26.96,"GWP"
67201,37.515555555556,-76.981111111111,51127,8.853,"municipal",8.853,"GWP"
67205,37.290833333333,-76.732222222222,51830,6.5404,"commercial",6.5404,"GWP"
67206,37.621230555556,-77.323855555556,51085,20.44,"commercial",20.44,"GWP"
67207,37.863333333333,-75.508888888889,51001,11.9,"commercial",11.9,"GWP"
67213,36.712611111111,-76.83475,51093,0,"municipal",0,"GWP"
67216,36.706388888889,-76.981672222222,51175,0,"municipal",0,"GWP"
67218,36.988888888889,-76.630277777778,51093,639.9,"industrial",639.899999999997,"GWP"
67219,37.774554641667,-77.138126869444,51101,19.713,"municipal",19.713,"GWP"
67220,36.966422222222,-76.419180555556,51700,44.165,"commercial",44.165,"GWP"
67221,37.473333333333,-75.880225,51131,46.68,"irrigation",8.64519046681264,"GWP"
67224,37.166304877778,-76.694434338889,51181,663197,"nuclearpower",124.29270844937,"GWP"
67227,37.734083333333,-75.653444444444,51001,662,"industrial",662,"GWP"
67233,36.856083333333,-77.038027777778,51175,0,"agriculture",0,"GWP"
67234,37.3735,-77.189556,51036,7.04,"municipal",7.04,"GWP"
67235,36.971388888889,-76.989722222222,51183,40.15,"municipal",40.15,"GWP"
67236,38.228033,-76.973936,51193,22.4399,"municipal",22.4399,"GWP"
67238,37.455,-75.900833,51131,0,"irrigation",0,"GWP"
67242,37.875361111111,-76.396602777778,51133,1.141,"municipal",1.141,"GWP"
67248,37.145,-76.730833333333,51181,0,"commercial",0,"GWP"
67249,38.1675,-76.790833333333,51193,18.93,"municipal",18.93,"GWP"
67252,37.387891666667,-76.768441666667,51095,4.745,"commercial",4.745,"GWP"
67255,37.223361111111,-77.316138888889,51149,0,"commercial",0,"GWP"
67256,37.074583333333,-77.152,51183,0,"agriculture",0,"GWP"
67257,37.994694444444,-75.417388888889,51001,37.2,"municipal",37.2000000000002,"GWP"
67259,37.689833333333,-77.2606,51085,6.21,"municipal",6.21,"GWP"
67261,36.650263888889,-76.998533333333,51175,973.05,"industrial",973.050000000012,"GWP"
67262,37.730858,-76.517016,51103,3.8447,"municipal",3.8447,"GWP"
67263,36.976444444444,-76.844719444444,51093,22.9,"agriculture",22.9,"GWP"
67267,36.815833333333,-76.3925,51740,0,"commercial",0,"GWP"
67270,36.710861,-77.198917,51175,8.17,"municipal",8.17,"GWP"
67272,37.989166666667,-75.542,51001,0,"fossilpower",0,"GWP"
67275,37.261944444444,-76.021083333333,51131,2.56,"industrial",2.56,"GWP"
67277,37.778579,-76.513224,51103,6.3,"municipal",6.3,"GWP"
67278,37.856138888889,-75.559638888889,51001,26.84,"commercial",26.84,"GWP"
67280,37.156527777778,-77.327638888889,51149,0,"commercial",0,"GWP"
67283,37.146083333333,-76.571722222222,51700,20.44,"municipal",20.44,"GWP"
67287,37.644984,-76.387326,51103,16.452,"municipal",16.452,"GWP"
67293,36.819388888889,-76.087138888889,51810,5.84,"commercial",5.84,"GWP"
67294,37.0325,-77.109444444444,51183,105.85,"municipal",105.85,"GWP"
67295,37.003833333333,-76.628888888889,51093,0,"industrial",0,"GWP"
67296,37.308194444444,-76.809555555556,51095,0,"municipal",0,"GWP"
67297,36.82575,-76.641444444444,51800,0,"commercial",0,"GWP"
67298,36.993944444444,-76.558277777778,51093,0,"municipal",0,"GWP"
67301,37.720008333333,-75.671411111111,51001,4.0166,"municipal",4.0166,"GWP"
67303,37.9566666667,-76.6727777778,51159,41.8551,"commercial",41.8551,"GWP"
67306,37.340138888889,-76.763111111111,51095,3.285,"commercial",3.285,"GWP"
67307,36.679638888889,-77.386305555556,51175,0,"industrial",0,"GWP"
67309,38.329011111111,-77.236247222222,51099,13.047,"municipal",13.047,"GWP"
67315,37.958611111111,-75.450833333333,51001,18.36,"commercial",18.36,"GWP"
67317,37.507685561111,-77.177760902778,51127,13.7,"municipal",13.7,"GWP"
67319,36.968638888889,-76.426111111111,51700,32.485,"industrial",32.485,"GWP"
67321,37.968817,-76.557525,51133,7.7,"municipal",7.7,"GWP"
67322,37.232278752778,-76.647635155556,51095,23.725,"commercial",23.7250000000004,"GWP"
67323,38.168611111111,-77.191944444444,51033,6.935,"municipal",6.935,"GWP"
67329,37.217777777778,-77.275277777778,51149,3.39,"commercial",3.39,"GWP"
67331,38.151205555556,-76.836155555556,51193,0,"municipal",0,"GWP"
67332,37.835,-75.578888888889,51001,0,"commercial",0,"GWP"
67334,38.348611111111,-77.019444444444,51099,152.876,"municipal",152.875999999996,"GWP"
67338,37.1575,-77.338611111111,51149,4,"municipal",4,"GWP"
67341,37.9722222222,-76.4697222222,51133,11.62,"manufacturing",11.62,"GWP"
67346,37.7341,-76.4237,51103,2.4,"municipal",2.4,"GWP"
67347,37.705555555556,-76.343111111111,51133,4.1,"municipal",4.1,"GWP"
67348,36.715555555556,-76.942222222222,51175,0,"municipal",0,"GWP"
67349,37.654972222222,-75.819861111111,51001,0,"commercial",0,"GWP"
67350,38.29138,-77.23518,51099,19.4644,"municipal",19.4644,"GWP"
67353,36.803444444444,-76.020888888889,51810,0,"commercial",0,"GWP"
67356,37.543611111111,-75.820277777778,51131,40.515,"municipal",40.515,"GWP"
67357,37.234,-75.97175,51131,0,"agriculture",0,"GWP"
67358,36.794611111111,-76.340444444444,51740,0,"industrial",0,"GWP"
67364,37.745555555556,-77.135555555556,51101,26.14,"municipal",26.14,"GWP"
67365,37.137958333333,-75.968794444444,51131,3.5,"commercial",3.5,"GWP"
67371,36.983861111111,-77.190277777778,51183,0,"agriculture",0,"GWP"
67374,36.625833333333,-77.124444444444,51175,0,"municipal",0,"GWP"
67378,38.7480555556,-77.055,51059,11.68,"municipal",11.68,"GWP"
67380,36.661438888889,-76.905930555556,51093,6074.174,"manufacturing",5398.93982900909,"GWP"
67383,37.349722222222,-77.078611111111,51036,10.22,"municipal",10.22,"GWP"
67387,37.709933333333,-75.727925,51001,0,"irrigation",0,"GWP"
67388,38.199687,-76.96429,51193,13.0728,"municipal",13.0728,"GWP"
67391,38.2008333333,-76.9766666667,51193,17.7566,"municipal",17.7566,"GWP"
67392,0.1,0,51001,0,"irrigation",0,"GWP"
67394,37.56165,-75.795522222222,51001,0,"agriculture",0,"GWP"
67399,38.110138888889,-77.267777777778,51033,9.49,"municipal",9.49,"GWP"
67402,36.646944444444,-75.988888888889,51810,0,"irrigation",0,"GWP"
67403,36.806694444444,-76.745083333333,51093,71,"municipal",71,"GWP"
67406,37.585,-77.298611111111,51085,8.4,"commercial",8.4,"GWP"
67407,36.718055555556,-77.070833333333,51175,40,"municipal",40,"GWP"
67409,NA,NA,51103,3,"municipal",3,"GWP"
67411,37.4425,-76.8375,51095,3.77,"municipal",3.77,"GWP"
67416,37.468916666667,-75.901027777778,51131,0,"irrigation",0,"GWP"
67418,37.939008333333,-76.589277777778,51159,2.0627,"municipal",2.0627,"GWP"
67420,37.445891666667,-75.861547222222,51131,0,"irrigation",0,"GWP"
67421,37.7336111111,-76.3291666667,51133,1.605,"municipal",1.605,"GWP"
67423,37.839,-76.253217,51133,2.655,"municipal",2.655,"GWP"
67424,37.7736,-76.471127777778,51103,3.21,"municipal",3.21,"GWP"
67425,37.415336111111,-76.858075,51095,5.17,"municipal",5.17,"GWP"
67429,37.426861111111,-76.851361111111,51095,3.88,"municipal",3.88,"GWP"
67430,37.355111111111,-76.740972222222,51199,119.87,"municipal",119.87,"GWP"
67431,37.605272222222,-75.803541666667,51001,28.2,"irrigation",26.7116860059813,"GWP"
67432,38.038333333333,-77.341944444444,51033,4.01,"municipal",4.01,"GWP"
67433,37.500554280556,-77.167356730556,51127,61.02,"municipal",61.02,"GWP"
67435,37.298805555556,-76.802527777778,51095,0,"municipal",0,"GWP"
67438,37.124916666667,-77.06775,51181,0,"agriculture",0,"GWP"
67442,36.984194444444,-77.168027777778,51183,0,"agriculture",0,"GWP"
67444,37.049444444444,-77.199444444444,51183,105.85,"municipal",105.85,"GWP"
67446,37.2515,-76.852583333333,51095,26.645,"commercial",26.645,"GWP"
67448,36.945388888889,-76.644055555556,51093,0,"municipal",0,"GWP"
67451,37.6825,-77.357222222222,51085,6.57,"municipal",6.57,"GWP"
67452,37.718447222222,-77.178105555556,51101,0,"municipal",0,"GWP"
67675,37.97,-76.74,51159,0,"industrial",0,"GWP"
67677,37.712221833333,-76.378889,51103,77.8244,"municipal",77.8244,"GWP"
67678,37.98225,-76.55565,51133,3.4,"municipal",3.4,"GWP"
67681,38.255917,-77.305083,51099,39.295,"irrigation",39.2949999999997,"GWP"
67682,37.526713888889,-76.421930555556,51119,1.827,"municipal",1.827,"GWP"
67683,NA,NA,51057,1.242,"municipal",1.242,"GWP"
67684,37.569861111111,-76.394111111111,51119,5.481,"municipal",5.481,"GWP"
67685,37.664254,-76.594097,51119,3.216,"municipal",3.216,"GWP"
67688,37.416111111111,-76.537222222222,51073,502.49,"municipal",252.626414625025,"GWP"
67689,38.263056,-77.161528,51099,11.338,"municipal",11.338,"GWP"
67690,37.94548,-76.875541,51057,1.096,"municipal",1.09600000000001,"GWP"
67691,37.9002777778,-76.8788888889,51057,0.365,"commercial",0.365,"GWP"
67692,37.6369444444,-76.575,51119,32.6,"municipal",32.6,"GWP"
67693,37.922913598199,-76.863296999964,51057,133.611,"municipal",133.611,"GWP"
67694,37.321111111111,-76.475555555556,51073,3.07,"municipal",3.07,"GWP"
67695,37.60822,-76.44247,51119,0,"commercial",0,"GWP"
67696,38.126635,-76.731075,51193,1.4032,"municipal",1.4032,"GWP"
67697,37.567885957988,-76.391473660607,51119,0,"municipal",0,"GWP"
67699,37.9613888889,-76.7702777778,51159,57.0068,"municipal",57.0068,"GWP"
73187,38.1688888889,-76.8688888889,51193,1.4,"commercial",1.4,"GWP"
73613,37.519416666667,-77.178944444444,51127,5.23,"municipal",5.23,"GWP"
74135,37.9736111111,-76.47,51133,0.375,"irrigation",0.375,"GWP"
90580,37.754389,-77.035056,51097,44.16,"irrigation",5.40987928291118,"GWP"
90584,38.239667,-77.260056,51033,5.84,"commercial",5.84,"GWP"
90588,38.232,-77.325694,51033,21.9,"irrigation",21.9,"GWP"
90589,38.2263888889,-77.4958333333,51177,0,"municipal",0,"GWP"
90590,38.050227682135,-76.55000169787,51193,17.354,"commercial",17.354,"GWP"
90591,37.906364,-76.946247,51033,0,"irrigation",0,"GWP"
90592,38.1019444444,-77.2902777778,51033,86.66,"municipal",86.6599999999992,"GWP"
192313,37.669780555556,-76.758505555556,51097,0,"fossilpower",0,"GWP"
193241,37.016231,-77.060739,51183,0,"industrial",0,"GWP"
378561,37.25083,-76.49794,51073,0,"commercial",0,"GWP"
393295,37.921755,-75.541118,51001,3.4,"agriculture",3.4,"GWP"
398646,37.661620448004,-75.754015797459,51001,0,"agriculture",0,"GWP"
398647,37.740312,-75.698568111111,51001,0,"agriculture",0,"GWP"
398648,37.889208295583,-75.543626436024,51001,0,"agriculture",0,"GWP"
398649,37.665109833333,-75.717399,51001,3.2,"agriculture",3.2,"GWP"
398653,37.59784,-75.75053,51001,0,"agriculture",0,"GWP"
398661,37.835112,-75.574075,51001,1.5,"agriculture",1.5,"GWP"
398665,37.995186,-75.530486,51001,0,"agriculture",0,"GWP"
398669,37.98588,-75.52285,51001,4.9,"agriculture",4.9,"GWP"
398673,37.804744,-75.640837,51001,1.8,"agriculture",1.8,"GWP"
398681,37.618166666667,-75.737638888889,51001,0,"agriculture",0,"GWP"
398685,37.97843,-75.54487,51001,0.68,"agriculture",0.68,"GWP"
398693,37.900306,-75.539035,51001,1.875,"agriculture",1.875,"GWP"
402138,38.2065,-77.348472,51033,0,"municipal",0,"GWP"
410176,37.78219637,-75.61192212,51001,1.8,"agriculture",1.8,"GWP"
410326,37.867175,-75.578031,51001,0.142,"agriculture",0.142,"GWP"
410329,37.997247222222,-75.471191666667,51001,0,"agriculture",0,"GWP"
413260,37.85,-75.5895864,51001,5.5,"agriculture",5.5,"GWP"
414879,37.92375,-75.622594444444,51001,1.48,"agriculture",1.48,"GWP"
414882,37.94075,-75.616444444444,51001,1.7,"agriculture",1.7,"GWP"
414910,37.773733333333,-75.667955555556,51001,0,"agriculture",0,"GWP"
414960,37.6098,-75.7382,51001,0,"agriculture",0,"GWP"
414964,37.565281,-75.875831,51001,0,"agriculture",0,"GWP"
415085,37.655526,-75.69325,51001,1.9,"agriculture",1.9,"GWP"
415089,37.848768466667,-75.5766119,51001,3,"agriculture",3,"GWP"
415108,37.615694444444,-75.735972222222,51001,4,"agriculture",4,"GWP"
415112,37.898015,-75.505165,51001,1.5,"agriculture",1.5,"GWP"
415481,37.8488,-75.578480555556,51001,0,"agriculture",0,"GWP"
415495,37.822274,-75.574072222222,51001,0,"agriculture",0,"GWP"
415601,37.9799,-75.5414,51001,0,"agriculture",0,"GWP"
415609,37.858434,-75.57561,51001,0.64,"agriculture",0.64,"GWP"
415621,37.54406528,-75.79866,51001,0,"agriculture",0,"GWP"
415630,NA,NA,51001,1.5,"agriculture",1.5,"GWP"
415645,37.78084303,-75.61306908,51001,0,"agriculture",0,"GWP"
415655,37.62338,-75.787944166667,51001,5.3,"agriculture",5.3,"GWP"
438395,37.797355,-75.635077,51001,3.4,"agriculture",28.4433402456532,"GWP"
439904,37.886909,-75.503015,51001,2,"agriculture",2,"GWP"
450296,37.901736111111,-77.347555555556,51033,0,"municipal",0,"GWP"
450366,37.498889,-76.634444,51099,0,"municipal",0,"GWP"
450455,38.089428261714,-76.725361347198,51001,0,"irrigation",0,"GWP"
