"Facility_hydroid","Latitude","Longitude","fips_code","fac_value","ftype","wsp_2020_GW","GWP_permit"
66848,37.304055555556,-76.934444444444,51036,6.169,"municipal",6.169,"GWP"
66849,36.942833333333,-77.397555555556,51183,22.849,"municipal",22.849,"GWP"
66850,89.999998477547,-9.84375,51149,0,"municipal",0,"GWP"
66852,38.020778,-76.506028,51133,1.5,"commercial",1.5,"GWP"
66853,37.348694444444,-76.758888888889,51095,0,"commercial",0,"GWP"
66856,37.821952777778,-77.143333333333,51101,3.73,"municipal",3.73,"GWP"
66861,37.476361111111,-75.862333333333,51131,0,"commercial",0,"GWP"
66862,37.495171158333,-75.879707277778,51131,0,"irrigation",0,"GWP"
66863,36.725277777778,-77.253891666667,51175,78,"municipal",78,"GWP"
66880,38.786111111111,-77.058333333333,51059,54.39,"commercial",20.8023409642125,"GWP"
66882,37.183666666667,-76.617,51095,5.84,"industrial",5.84,"GWP"
66884,36.777527777778,-76.460166666667,51550,1718.105,"municipal",637.826329679878,"GWP"
66886,37.399491666667,-76.901622222222,51127,11.453,"municipal",11.453,"GWP"
66887,37.497222222222,-77.122222222222,51127,49.71,"commercial",49.71,"GWP"
66888,36.895833333333,-76.046388888889,51810,0,"commercial",0,"GWP"
66889,36.711777777778,-77.304,51175,0,"municipal",0,"GWP"
66892,37.657303,-76.57676,51119,4.019,"municipal",4.01900000000005,"GWP"
66893,36.866416666667,-75.99275,51810,0,"commercial",0,"GWP"
66895,37.116083333333,-76.668444444444,51093,0,"municipal",0,"GWP"
66899,37.757777777778,-75.6225,51001,5.16,"commercial",5.16,"GWP"
66901,37.628055555556,-77.356111111111,51085,43.07,"commercial",43.07,"GWP"
66902,38.20928,-76.97496,51193,2.688,"municipal",2.688,"GWP"
66904,37.67434,-76.43256,51103,8,"municipal",8,"GWP"
66906,37.268733333333,-76.002483333333,51131,30.66,"municipal",30.66,"GWP"
66910,36.870772222222,-76.352055555556,51740,1.336,"fossilpower",1.336,"GWP"
66912,37.826297222222,-75.547344444444,51001,0,"irrigation",0,"GWP"
66914,36.888871,-76.840736,51175,0,"commercial",0,"GWP"
66915,36.8375,-76.006305555556,51810,0,"industrial",0,"GWP"
66916,37.6563888889,-76.4488888889,51103,8.6,"municipal",8.6,"GWP"
66919,36.588444444444,-76.684,51800,0,"municipal",0,"GWP"
66920,37.253888888889,-76.69,51830,82.125,"commercial",82.125,"GWP"
66924,37.761666666667,-77.365833333333,51085,21.9,"municipal",21.9,"GWP"
66926,38.077828,-76.781175,51193,0,"municipal",0,"GWP"
66927,37.95447,-76.431454,51133,4.5,"municipal",4.5,"GWP"
66929,37.556694444444,-76.795916666667,51101,170.5,"municipal",170.5,"GWP"
66930,37.353277777778,-75.951611111111,51131,16.2,"municipal",16.2,"GWP"
66931,37.5166666667,-77.1233333333,51127,0,"commercial",0,"GWP"
66936,37.351944444444,-77.291388888889,51041,61.8474,"industrial",61.8474,"GWP"
66937,36.810277777778,-76.619166666667,51800,14.6595,"municipal",14.6595000000001,"GWP"
66939,37.385511111111,-75.924463888889,51131,0,"irrigation",0,"GWP"
66944,36.789578611111,-76.691389722222,51093,0,"agriculture",0,"GWP"
66948,37.275555555556,-77.202777777778,51149,5.8,"municipal",5.8,"GWP"
66949,37.919814,-76.478956,51133,4.798,"municipal",4.798,"GWP"
66951,37.101455233333,-76.700796863889,51181,0,"municipal",0,"GWP"
66953,37.575105555556,-75.838561111111,51001,0,"irrigation",0,"GWP"
66955,38.091806,-76.831444,51193,20.3368,"municipal",20.3368,"GWP"
66958,37.230930555556,-75.952197222222,51131,3.87,"irrigation",2.42114361226477,"GWP"
66961,36.681916666667,-76.780916666667,51800,1432,"municipal",1431.99999999999,"GWP"
66963,37.4205555556,-77.2069444444,51036,1.46,"commercial",1.46,"GWP"
66965,37.388694444444,-76.717388888889,51095,10.05,"municipal",10.05,"GWP"
66967,37.993330555556,-75.519627777778,51001,0,"agriculture",0,"GWP"
66971,37.717222222222,-77.121388888889,51101,0,"industrial",0,"GWP"
66972,37.363611111111,-76.769722222222,51095,1896.01,"municipal",1906.85044421969,"GWP"
66973,37.695013888889,-77.036111111111,51101,0,"municipal",0,"GWP"
