,MAF,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bg_adult,-71.87,-55.45,-48.33,-55.57,0,-41.39,-56.99,-73.46,-75.7,-73.18,-75.63,-70.4,-71.64
bg_fry,-55.6,-14.2,-5.27,-23.13,0,1.53,-9.55,-56.92,-81.1,-83.89,-74.57,-64.72,-46.56
bg_juv,-36.73,3.52,3.09,2.12,0,2.45,3.8,-36.75,-84.2,-88.89,-74.62,-56.77,-15.74
cc_adult,-21.38,-27.17,-23.29,-27.34,0,-25.69,-28.84,-23.7,7.56,11.3,3.57,-8.1,-33.21
cc_fry,-14.56,-3.83,-3.54,-3.98,0,-3.94,-4.27,-14.78,-32.98,-38.81,-25.66,-20.56,-9.67
cc_juv,-18.78,-12.09,-9.78,-12.6,0,-10.57,-12.37,-19.63,-37.62,-41.59,-30.84,-21.55,-18.51
cc_spawn,-15.89,-64.81,-58.82,-60.66,0,-61.55,-68.84,-22.2,17.92,21.52,20.43,8.05,-48.09
gd_adult,8.29,11.51,11.87,0.41,0,28.18,13.64,7.17,5.14,-0.41,9.03,9.38,5.68
gd_juv,42.73,51.18,43.2,49.99,0,44.26,57.81,48.23,14.82,8.22,18.93,23.95,62.94
gd_spawn,-17.56,1.44,7.01,-4.17,0,19.3,5.66,-17.95,-26.26,-27.56,-23.11,-21.77,-15.08
gs_adult,13,-47.56,-44.57,-37.18,0,-48.52,-51.91,8.8,45.56,48.12,38.49,32.13,-18.58
gs_fry,-46.21,-15.75,-11.18,-18.82,0,-5.84,-14.81,-47.15,-76.9,-79.43,-70.7,-58.44,-36.13
gs_juv,8.54,-42.2,-42.98,-30.77,0,-47.31,-48.29,5.76,38.43,41.06,32.97,23.85,-15.17
gs_spawn,-58.88,-21.42,-12.88,-29.01,0,-4.53,-18.18,-59.94,-68.23,-67.34,-65.83,-60.41,-53.16
smb_adult,-30.97,-28.38,-24.83,-30.02,0,-25.79,-30.86,-33.32,-10.98,-9.77,-11.61,-19.74,-36.58
smb_fry,-66.02,-45.27,-36.04,-49.35,0,-25.41,-44.87,-69.43,-64.55,-58.68,-64.68,-64.66,-64.85
smb_inc,-25.08,-34.79,-31.42,-31.88,0,-33.76,-38.1,-27.47,-15.41,-11.33,-17.36,-19.12,-34.36
smb_juv,-33.17,-5.48,-4.52,-6.44,0,-5,-5.52,-33.53,-69.2,-73.07,-61.39,-47.67,-20.07
smb_spawn,-55.92,-25.06,-16.65,-30.96,0,-7.27,-22.82,-57.96,-63.45,-63.42,-60.73,-56.37,-51.8
ws_adult,-14.42,-6.82,-5.37,-7.22,0,-4.88,-6.92,-14.96,-36.44,-41.44,-29.33,-20.28,-11.19
ws_fry,-52.86,-10.27,-5.11,-15.99,0,-1.77,-7.62,-53.62,-84.33,-86.45,-78.03,-65.77,-39.07
ws_juv,-13.19,-4.61,-3.12,-5.82,0,-1.9,-4.18,-13.72,-32.99,-41.94,-23.02,-16.81,-10.3
ws_spawn,-1.46,35,30.37,36.85,0,31.14,40.23,1.01,-49.98,-54.95,-41.73,-25.94,29.63
