"discharge","bg_fry","bg_juv","bg_spawn","bg_adult","cc_fry","cc_adult","cc_spawn","gd_spawn","gd_juv","gd_adult","gs_fry","gs_juv","gs_adult","gs_spawn","smb_fry","smb_juv","smb_spawn","smb_inc","smb_adult","ws_fry","ws_spawn"
"X1",500,222558,293172,251049,267523,26736.58647,196470.4958,210682.6093,22999.33766,158262.0572,80850.06742,461876.1745,200448.8945,204134.4535,511349.1711,429711.4217,527004.0949,477534.4629,101029.9659,275771.4663,433785.4943,176829.3129
"X2",600,202663,269654,259953,270579,28934.13366,207110.9682,217073.406,28616.24138,171572.9414,90211.577,463029.7597,208530.2488,211931.7732,524269.3632,446529.6316,527004.0949,493898.1286,131166.7358,275771.4663,437858.4443,199227.5763
"X3",700,183489,243104,269018,273635,30873.03698,214787.8977,222949.6761,34827.96841,185480.5343,99608.32209,464183.3449,216499.2962,219196.3096,537930.2031,461915.5851,527004.0949,510095.3444,160621.3037,276816.2818,441080.4449,221033.4923
"X4",800,164315,218659,277582,274562,32965.34975,221389.4791,228547.1906,40822.14369,199649.2941,109028.3274,465256.9948,224057.3096,225899.2704,553288.1773,472824.6927,527004.0949,525368.0958,187132.8199,283379.7493,443998.3697,238851.4572
"X5",900,144892,197679,283513,275181,35895.39694,226996.7664,232632.5447,43800.80475,200056.2363,116533.3325,462182.7235,229759.8284,232023.17,568952.324,483733.8003,527004.0949,540640.8473,214118.6156,292780.1478,441994.017,244577.6143
"X6",1000,125408,176756,289444,275799,39043.7553,230293.074,236590.0681,46913.37854,200056.2363,123359.4259,455631.6401,235115.6765,237349.3092,585283.235,488705.8155,527004.0949,555751.0686,243027.7473,303209.9335,438612.7034,249333.0761
"X7",1250,83845,133353,299375,270631,46759.39705,239624.3986,242424.7068,54891.71517,191749.4083,140247.8138,436176.8932,244408.1154,247500.7411,585283.235,496890.9698,527004.0949,593184.3728,315658.9996,330871.1671,415482.8086,262045.0454
"X8",1500,53725,92659,301790,258637,53166.3486,248709.0721,244605.8203,63161.42269,178963.35,153269.4554,405817.1753,252306.5053,257461.4373,585283.235,499130.1048,527004.0949,593184.3728,386163.8611,353777.9484,375776.9155,269019.7395
"X9",1750,34160,68157,296898,239409,59103.11607,256706.6034,243397.1237,70784.00461,163611.568,160708.8101,372889.7198,265761.2433,269389.7507,585283.235,496636.2839,527004.0949,593184.3728,446519.7292,376105.725,337815.7221,267934.126
"X10",2000,20027,45319,285984,218455,68127.49262,264657.8485,241686.6243,76906.69743,147176.5125,168028.3973,334256.5394,275264.0997,278903.0332,585283.235,489594.441,527004.0949,593184.3728,509793.143,399853.4647,299748.3643,254626.9954
"X11",2500,4147,15654,257569,170700,89846.18008,274791.0574,239193.0467,88900.74734,113844.3157,180142.8531,268127.3577,290148.9041,293821.0142,585283.235,468222.4575,527004.0949,593184.3728,586688.6147,450257.3687,222850.0137,209776.8819
"X12",2790,3760,10975,226749,143274,105353.3379,278261.139,236396.3405,95461.00658,96224.47855,184023.3911,225809.086,299056.4788,302707.4534,585283.235,441034.4406,473097.7068,593184.3728,599913.7883,479740.6676,177953.1619,175055.8451
