ftype	name	org_hydrocode	issuer_hydrocode	admincode	registgration_id	startdate	enddate	status	description
vdeq_vwuds	Presidential Lakes Section 14(Presidential Lakes Section 14 Water System)	vwuds_rp_3878	vdeq_vwuds	vwuds_10325	10325	2015-01-01		inactive	
vdeq_vwuds	GROTTOES PLASTICS PLANT(GROTTOES PLASTICS PLANT)	vwuds_rp_1187	vdeq_vwuds	vwuds_0117	0117	1982-01-01		active	
vdeq_vwuds	Hobbs Hole Golf Course(Hobbs Hole Golf Course (Irrigation))	vwuds_rp_3880	vdeq_vwuds	vwuds_10326	10326	2015-01-01		active	
vdeq_vwuds	STUART PLANT(STUART PLANT)	vwuds_rp_1453	vdeq_vwuds	vwuds_1006	1006	1982-01-01		active	" JP STEVEN
2012: 2ndary email good, primary email bad - no need to resend. Delete primary contact email 12/20/12.
1/30/13 rec'd call from W. Ashley, never rec'd email 2ndary email bad and corrected 1/30/13. Email forwarded 1/30/13.
 \nCMI INDUSTRIES INC"
vdeq_vwuds	Bells Cove Water System(Bells Cove Water System)	vwuds_rp_3051	vdeq_vwuds	vwuds_10275	10275	2015-01-01		active	
vdeq_vwuds	Giles Country Club(Giles Country Club (Irrigation))	vwuds_rp_3876	vdeq_vwuds	vwuds_10327	10327	2015-01-01		active	
vdeq_vwuds	Captains Cove Golf and Yacht Club(Captains Cove Golf and Yacht Club (Irrigation))	vwuds_rp_3875	vdeq_vwuds	vwuds_10328	10328	2015-01-01		active	
vdeq_vwuds	WATER COUNTRY USA(WATER COUNTRY USA)	vwuds_rp_193	vdeq_vwuds	vwuds_1270	1270	1982-01-01		inactive	
vdeq_vwuds	CANTERBURY SUBDIVISION(CANTERBURY SUBDIVISION)	vwuds_rp_3047	vdeq_vwuds	vwuds_10277	10277	2015-01-01		active	
vdeq_vwuds	Kinlock Golf Course(Kinloch Golf Course (Irrigation))	vwuds_rp_3877	vdeq_vwuds	vwuds_10329	10329	2015-01-01		active	
vdeq_vwuds	Deep Mine 41(Deep Mine 41)	vwuds_rp_396	vdeq_vwuds	vwuds_10169	10169	2012-01-01		active	
vdeq_vwuds	COVINGTON SERVICE AREA(COVINGTON)	vwuds_rp_329	vdeq_vwuds	vwuds_0612	0612	1982-01-01		active	
vdeq_vwuds	Birkdale Golf Club(Birkdale Golf Club (Irrigation))	vwuds_rp_3883	vdeq_vwuds	vwuds_10330	10330	2015-01-01		active	
vdeq_vwuds	CHESAPEAKE COVE(CHESAPEAKE COVE)	vwuds_rp_3051	vdeq_vwuds	vwuds_10278	10278	2015-01-01		active	
vdeq_vwuds	BUCHANAN (TOWN) SERVICE AREA(BUCHANAN, TOWN)	vwuds_rp_179	vdeq_vwuds	vwuds_0632	0632	1982-01-01		active	
vdeq_vwuds	Surface Water Reporting - [no name]	vwuds_rp_568	vdeq_vwuds	vwuds_5617	5617	1990-01-01		inactive	
