ftype	name	org_hydrocode	issuer_hydrocode	admincode	registgration_id	startdate	enddate	status	description
vdeq_vwuds	GROTTOES PLASTICS PLANT(GROTTOES PLASTICS PLANT)	vwuds_rp_1187	vdeq_vwuds	vwuds_0117	0117	1982-01-01		active	
vdeq_vwuds	Presidential Lakes Section 14(Presidential Lakes Section 14 Water System)	vwuds_rp_3878	vdeq_vwuds	vwuds_10325	10325	2015-01-01		inactive	
vdeq_vwuds	Hobbs Hole Golf Course(Hobbs Hole Golf Course (Irrigation))	vwuds_rp_3880	vdeq_vwuds	vwuds_10326	10326	2015-01-01		active	
vdeq_vwuds	STUART PLANT(STUART PLANT)	vwuds_rp_1453	vdeq_vwuds	vwuds_1006	1006	1982-01-01		active	" JP STEVEN
2012: 2ndary email good, primary email bad - no need to resend. Delete primary contact email 12/20/12.
1/30/13 rec'd call from W. Ashley, never rec'd email 2ndary email bad and corrected 1/30/13. Email forwarded 1/30/13.
 \nCMI INDUSTRIES INC"
