COMID	ROUTING	GRP_Stream	Subwatershed	Basin	Simulation	SEQ_GRP
8566753	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566759	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566815	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566845	Default	null	JL1_6560_6440	JL1	CBPM	5
8566841	Default	null	JL1_6560_6440	JL1	CBPM	3
8566749	Default	null	JL1_6560_6440	JL1	CBPM	1
8566833	Default	null	JL1_6560_6440	JL1	CBPM	2
8566839	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566887	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566897	Default	null	JL1_6560_6440	JL1	CBPM	6
8567141	Default	null	JL1_6560_6440	JL1	CBPM	2
8566989	Default	null	JL1_6560_6440	JL1	CBPM	1
8566905	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566941	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8566975	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567001	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567307	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567053	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567617	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567055	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8568285	Default	null	JL1_6560_6440	JL1	CBPM	2
8567679	Default	null	JL1_6560_6440	JL1	CBPM	1
8566895	Default	null	JL1_6560_6440	JL1	CBPM	5
8566891	Default	null	JL1_6560_6440	JL1	CBPM	4
8566893	Default	null	JL1_6560_6440	JL1	CBPM	2
8567131	Default	null	JL1_6560_6440	JL1	CBPM	1
8566755	Default	null	JL1_6560_6440	JL1	CBPM	4
8567313	Default	null	JL1_6560_6440	JL1	CBPM	3
8566699	Default	null	JL1_6560_6440	JL1	CBPM	1
8567305	Default	null	JL1_6560_6440	JL1	CBPM	2
8567123	Default	null	JL1_6560_6440	JL1	CBPM	2
8566715	Default	null	JL1_6560_6440	JL1	CBPM	1
8566805	Default	null	JL1_6560_6440	JL1	CBPM	9
8566763	Default	null	JL1_6560_6440	JL1	CBPM	3
8566705	Default	null	JL1_6560_6440	JL1	CBPM	1
8566731	Default	null	JL1_6560_6440	JL1	CBPM	2
8566779	Default	null	JL1_6560_6440	JL1	CBPM	6
8566793	Default	null	JL1_6560_6440	JL1	CBPM	2
8566791	Default	null	JL1_6560_6440	JL1	CBPM	1
8566781	Default	null	JL1_6560_6440	JL1	CBPM	5
8567213	Default	null	JL1_6560_6440	JL1	CBPM	4
8566751	Default	null	JL1_6560_6440	JL1	CBPM	3
8566745	Default	null	JL1_6560_6440	JL1	CBPM	2
8567285	Default	null	JL1_6560_6440	JL1	CBPM	1
8566733	Default	null	JL1_6560_6440	JL1	CBPM	1
8566785	Default	null	JL1_6560_6440	JL1	CBPM	1
8567125	Default	null	JL1_6560_6440	JL1	CBPM	2
8566867	Default	null	JL1_6560_6440	JL1	CBPM	4
8566863	Default	null	JL1_6560_6440	JL1	CBPM	2
8567293	Default	null	JL1_6560_6440	JL1	CBPM	1
8567245	Default	null	JL1_6560_6440	JL1	CBPM	3
8566889	Default	null	JL1_6560_6440	JL1	CBPM	2
8567129	Default	null	JL1_6560_6440	JL1	CBPM	1
8567135	Default	null	JL1_6560_6440	JL1	CBPM	3
8566943	Default	null	JL1_6560_6440	JL1	CBPM	2
8566925	Default	null	JL1_6560_6440	JL1	CBPM	1
8566907	Default	null	JL1_6560_6440	JL1	CBPM	2
8566899	Default	null	JL1_6560_6440	JL1	CBPM	1
8566923	Default	null	JL1_6560_6440	JL1	CBPM	1
8566977	Default	null	JL1_6560_6440	JL1	CBPM	3
8567153	Default	null	JL1_6560_6440	JL1	CBPM	2
8567007	Default	null	JL1_6560_6440	JL1	CBPM	1
8566973	Default	null	JL1_6560_6440	JL1	CBPM	2
8567299	Default	null	JL1_6560_6440	JL1	CBPM	1
8567057	Default	null	JL1_6560_6440	JL1	CBPM	7
8568281	Default	null	JL1_6560_6440	JL1	CBPM	5
8569665	Default	null	JL1_6560_6440	JL1	CBPM	6
8567585	Default	null	JL1_6560_6440	JL1	CBPM	4
8569667	Default	null	JL1_6560_6440	JL1	CBPM	2
8567063	Default	null	JL1_6560_6440	JL1	CBPM	1
8567597	Default	null	JL1_6560_6440	JL1	CBPM	3
8567577	Default	null	JL1_6560_6440	JL1	CBPM	2
8567059	Default	null	JL1_6560_6440	JL1	CBPM	1
8567587	Default	null	JL1_6560_6440	JL1	CBPM	2
8567061	Default	null	JL1_6560_6440	JL1	CBPM	1
8568287	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8568293	Default	JL1_6560_6440	JL1_6560_6440	JL1	HSPF	18
8567719	Default	null	JL1_6560_6440	JL1	CBPM	1
8567687	Default	null	JL1_6560_6440	JL1	CBPM	3
8567717	Default	null	JL1_6560_6440	JL1	CBPM	1
8567703	Default	null	JL1_6560_6440	JL1	CBPM	2
8567759	Default	null	JL1_6560_6440	JL1	CBPM	2
8567797	Default	null	JL1_6560_6440	JL1	CBPM	1
8567315	Default	null	JL1_6560_6440	JL1	CBPM	5
8567581	Default	null	JL1_6560_6440	JL1	CBPM	4
8567599	Default	null	JL1_6560_6440	JL1	CBPM	3
8568391	Default	null	JL1_6560_6440	JL1	CBPM	1
8567727	Default	null	JL1_6560_6440	JL1	CBPM	2
8567667	Default	null	JL1_6560_6440	JL1	CBPM	3
8567777	Default	null	JL1_6560_6440	JL1	CBPM	2
8567803	Default	null	JL1_6560_6440	JL1	CBPM	1
8567701	Default	null	JL1_6560_6440	JL1	CBPM	1
8567605	Default	null	JL1_6560_6440	JL1	CBPM	2
8568389	Default	null	JL1_6560_6440	JL1	CBPM	1
8567049	Default	null	JL1_6560_6440	JL1	CBPM	6
8568365	Default	null	JL1_6560_6440	JL1	CBPM	3
8567253	Default	null	JL1_6560_6440	JL1	CBPM	5
8568339	Default	null	JL1_6560_6440	JL1	CBPM	4
8567615	Default	null	JL1_6560_6440	JL1	CBPM	1
8567591	Default	null	JL1_6560_6440	JL1	CBPM	2
8567013	Default	null	JL1_6560_6440	JL1	CBPM	1
8566933	Default	null	JL1_6560_6440	JL1	CBPM	2
8567297	Default	null	JL1_6560_6440	JL1	CBPM	1
8566883	Default	null	JL1_6560_6440	JL1	CBPM	1
8567221	Default	null	JL1_6560_6440	JL1	CBPM	8
8567219	Default	null	JL1_6560_6440	JL1	CBPM	7
8567217	Default	null	JL1_6560_6440	JL1	CBPM	4
