"discharge","riffle","fast_gen","pool_run","pool_cov","alg_mid"
"X1",3,3254.980972,2060.667114,3304.790687,1688.493396,39575.8706
"X2",9,5875.867473,6630.848444,7034.922767,2932.057309,27935.85435
"X3",18,13201.25364,10864.67428,9722.968435,5015.110813,19956.15473
"X4",20,13873.40497,12376.87486,10395.11977,5216.588314,19221.41582
"X5",29,16763.4878,15837.81061,12646.63085,6124.356391,17448.94885
"X6",32,18376.42713,16826.16969,13285.2026,7065.144392,16073.34097
"X7",38,20997.31363,18674.16611,14192.41101,7770.875308,10640.16396
"X8",45,20392.32147,19783.41169,14998.88068,8156.658804,7314.708815
"X9",50,21535.14663,20892.0976,15435.97493,8644.504141,6871.560988
"X10",59,21064.4728,22034.92277,15906.0891,8845.981643,7937.336687
"X11",69,19518.69263,22740.09402,16511.08126,8510.185807,9608.362179
"X12",79,19115.17797,23681.44168,16914.59593,8577.344974,5318.697145
"X13",90,19384.3743,24050.8171,16981.75509,7972.352809,4653.975405
"X14",100,18980.85964,24151.55585,16914.59593,7469.698423,4893.653116
"X15",103,18645.0638,24387.1726,16746.13835,7434.519812,4972.216067
"X16",108,17032.12447,24420.75218,16948.17551,7434.519812,5097.123232
"X17",118,17099.28364,23076.44952,15166.7786,7300.201478,4415.397717
"X18",119,16695.76897,22639.35527,14864.56235,7291.806582,4462.97593
"X19",130,15150.54847,20354.26461,14494.62727,7199.462727,4986.336275
"X20",140,14478.39713,20421.98343,14562.34609,7266.621894,4653.975405
"X21",148,13940.56414,19615.51377,13923.77435,6930.826058,4895.781676
"X22",160,13335.57197,19312.73786,13453.10051,6426.572644,4551.128141
"X23",170,12193.30647,18304.79069,13453.10051,6057.197224,3715.753595
"X24",180,11453.99597,17431.16185,13318.78218,6090.776808,3983.373601
"X25",190,10176.85247,17498.32102,12747.3696,6090.776808,6982.347945
"X26",200,9034.586971,16187.59794,12478.73293,6124.356391,6427.895737
"X27",250,6883.814641,12860.98052,10025.74435,4679.314976,2745.170827
"X28",300,5002.238639,8910.342512,7472.017014,4036.82561,2524.453328
"X29",400,2371.278263,4608.797851,4246.138348,2894.000448,2406.846634
"X30",500,1631.967764,2088.650101,2599.619431,2221.849116,1963.698807
"X31",600,758.3389299,1147.8621,1582.158048,1986.79203,1963.698807
"X32",700,220.5059324,408.5516006,708.5292142,1314.640698,1432.466899
