area_sqmi,wd_upstream_mgd,ps_upstream_mgd,Qreach,Qlake,imp_off,wd_mgd,ps_mgd,ps_trib_mgd,wd_trib_mgd,name,description,objectname,componentid,subshedid,dt,month,day,year,thisdate,time,timestamp,run_mode,week,Listen on Parent,Send to Children,Send to Parent,Listen to Children,Qout,ps_cumulative_mgd,wd_cumulative_mgd
"1460.05224235","6.31450416021","59.8657833333","724.935021191","724.935021191","1","0","0.0038","0","0",,"","",0,"","","1","25","1984","1984-01-25","","443854800","2","4","0","0","0","0","724.935021191","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","699.528154426","699.528154426","1","0","0.0038","0","0",,"","",0,"","","1","26","1984","1984-01-26","","443941200","2","4","0","0","0","0","699.528154426","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","684.819377447","684.819377447","1","0","0.0038","0","0",,"","",0,"","","1","27","1984","1984-01-27","","444027600","2","4","0","0","0","0","684.819377447","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","678.640383334","678.640383334","1","0","0.0038","0","0",,"","",0,"","","1","28","1984","1984-01-28","","444114000","2","4","0","0","0","0","678.640383334","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","668.838953348","668.838953348","1","0","0.0038","0","0",,"","",0,"","","1","29","1984","1984-01-29","","444200400","2","4","0","0","0","0","668.838953348","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","650.868482247","650.868482247","1","0","0.0038","0","0",,"","",0,"","","1","30","1984","1984-01-30","","444286800","2","5","0","0","0","0","650.868482247","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","59.8657833333","626.872700945","626.872700945","1","0","0.0038","0","0",,"","",0,"","","1","31","1984","1984-01-31","","444373200","2","5","0","0","0","0","626.872700945","59.8695833333","6.31450416021"
"1460.05224235","6.31450416021","60.3712500001","600.8492588","600.8492588","1","0","0.00303333333333","0","0",,"","",0,"","","2","1","1984","1984-02-01","","444459600","2","5","0","0","0","0","600.8492588","60.3742833334","6.31450416021"
"1460.05224235","6.03541781264","60.3712500001","578.044710457","578.044710457","1","0","0.00303333333333","0","0",,"","",0,"","","2","2","1984","1984-02-02","","444546000","2","5","0","0","0","0","578.044710457","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","564.077238863","564.077238863","1","0","0.00303333333333","0","0",,"","",0,"","","2","3","1984","1984-02-03","","444632400","2","5","0","0","0","0","564.077238863","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","563.190419667","563.190419667","1","0","0.00303333333333","0","0",,"","",0,"","","2","4","1984","1984-02-04","","444718800","2","5","0","0","0","0","563.190419667","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","572.833184571","572.833184571","1","0","0.00303333333333","0","0",,"","",0,"","","2","5","1984","1984-02-05","","444805200","2","5","0","0","0","0","572.833184571","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","580.172010087","580.172010087","1","0","0.00303333333333","0","0",,"","",0,"","","2","6","1984","1984-02-06","","444891600","2","6","0","0","0","0","580.172010087","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","574.335356534","574.335356534","1","0","0.00303333333333","0","0",,"","",0,"","","2","7","1984","1984-02-07","","444978000","2","6","0","0","0","0","574.335356534","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","558.704139948","558.704139948","1","0","0.00303333333333","0","0",,"","",0,"","","2","8","1984","1984-02-08","","445064400","2","6","0","0","0","0","558.704139948","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","541.179822618","541.179822618","1","0","0.00303333333333","0","0",,"","",0,"","","2","9","1984","1984-02-09","","445150800","2","6","0","0","0","0","541.179822618","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","525.536632344","525.536632344","1","0","0.00303333333333","0","0",,"","",0,"","","2","10","1984","1984-02-10","","445237200","2","6","0","0","0","0","525.536632344","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","532.192997565","532.192997565","1","0","0.00303333333333","0","0",,"","",0,"","","2","11","1984","1984-02-11","","445323600","2","6","0","0","0","0","532.192997565","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","609.131568547","609.131568547","1","0","0.00303333333333","0","0",,"","",0,"","","2","12","1984","1984-02-12","","445410000","2","6","0","0","0","0","609.131568547","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","860.744213287","860.744213287","1","0","0.00303333333333","0","0",,"","",0,"","","2","13","1984","1984-02-13","","445496400","2","7","0","0","0","0","860.744213287","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","4419.42274366","4419.42274366","1","0","0.00303333333333","0","0",,"","",0,"","","2","14","1984","1984-02-14","","445582800","2","7","0","0","0","0","4419.42274366","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","13509.2689595","13509.2689595","1","0","0.00303333333333","0","0",,"","",0,"","","2","15","1984","1984-02-15","","445669200","2","7","0","0","0","0","13509.2689595","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","14769.3967783","14769.3967783","1","0","0.00303333333333","0","0",,"","",0,"","","2","16","1984","1984-02-16","","445755600","2","7","0","0","0","0","14769.3967783","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","8579.37640635","8579.37640635","1","0","0.00303333333333","0","0",,"","",0,"","","2","17","1984","1984-02-17","","445842000","2","7","0","0","0","0","8579.37640635","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","4949.46358885","4949.46358885","1","0","0.00303333333333","0","0",,"","",0,"","","2","18","1984","1984-02-18","","445928400","2","7","0","0","0","0","4949.46358885","60.3742833334","6.03541781264"
