area_sqmi,wd_upstream_mgd,ps_upstream_mgd,Qreach,Qlake,imp_off,wd_mgd,ps_mgd,ps_trib_mgd,wd_trib_mgd,name,description,componentid,subshedid,dt,month,day,year,thisdate,time,timestamp,modays,run_mode,flow_mode,season,ps_cumulative_mgd,wd_cumulative_mgd,week,Listen on Parent,Send to Children,Send to Parent,Listen to Children,Qout
"1460.0522423485","47.371613427725","30.992251013985","7860.3115931505","7406.5615931505","1","0","0","0","0",,"",0,"","","1","1","2007","2007-01-01","","1167627600","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","7860.3115931505"
"1460.0522423485","47.371613427725","30.992251013985","6880.784068282","6880.784068282","1","0","0","0","0",,"",0,"","","1","2","2007","2007-01-02","","1167714000","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","6880.784068282"
"1460.0522423485","47.371613427725","30.992251013985","4864.7027193511","4864.7027193511","1","0","0","0","0",,"",0,"","","1","3","2007","2007-01-03","","1167800400","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","4864.7027193511"
"1460.0522423485","47.371613427725","30.992251013985","3214.6960673354","3214.6960673354","1","0","0","0","0",,"",0,"","","1","4","2007","2007-01-04","","1167886800","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","3214.6960673354"
"1460.0522423485","47.371613427725","30.992251013985","2344.8370305542","2344.8370305542","1","0","0","0","0",,"",0,"","","1","5","2007","2007-01-05","","1167973200","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","2344.8370305542"
"1460.0522423485","47.371613427725","30.992251013985","2034.8211270908","2034.8211270908","1","0","0","0","0",,"",0,"","","1","6","2007","2007-01-06","","1168059600","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","2034.8211270908"
"1460.0522423485","47.371613427725","30.992251013985","1954.8737280466","1954.8737280466","1","0","0","0","0",,"",0,"","","1","7","2007","2007-01-07","","1168146000","31","10","4","","30.992251013985","47.371613427725","1","0","0","0","0","1954.8737280466"
"1460.0522423485","47.371613427725","30.992251013985","2655.2216881264","2655.2216881264","1","0","0","0","0",,"",0,"","","1","8","2007","2007-01-08","","1168232400","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","2655.2216881264"
"1460.0522423485","47.371613427725","30.992251013985","4081.3492014241","4081.3492014241","1","0","0","0","0",,"",0,"","","1","9","2007","2007-01-09","","1168318800","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","4081.3492014241"
"1460.0522423485","47.371613427725","30.992251013985","4283.3738129419","4283.3738129419","1","0","0","0","0",,"",0,"","","1","10","2007","2007-01-10","","1168405200","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","4283.3738129419"
"1460.0522423485","47.371613427725","30.992251013985","3290.4520426678","3290.4520426678","1","0","0","0","0",,"",0,"","","1","11","2007","2007-01-11","","1168491600","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","3290.4520426678"
"1460.0522423485","47.371613427725","30.992251013985","2446.1905956316","2446.1905956316","1","0","0","0","0",,"",0,"","","1","12","2007","2007-01-12","","1168578000","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","2446.1905956316"
"1460.0522423485","47.371613427725","30.992251013985","1926.016218961","1926.016218961","1","0","0","0","0",,"",0,"","","1","13","2007","2007-01-13","","1168664400","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","1926.016218961"
"1460.0522423485","47.371613427725","30.992251013985","1595.939817712","1595.939817712","1","0","0","0","0",,"",0,"","","1","14","2007","2007-01-14","","1168750800","31","10","4","","30.992251013985","47.371613427725","2","0","0","0","0","1595.939817712"
