thisdate,wssc_pot,wa_gf,wa_lf,fw_pot,rville,up_cu
6/1/2008,116,166,3,101,5,101
7/1/2008,118,182,2,110,5,111
8/1/2008,126,177,2,122,5,112
9/1/2008,118,168,0,98,5,92
10/1/2008,108,156,0,90,5,71
11/1/2008,109,146,0,74,5,61
12/1/2008,117,150,0,71,5,55
1/1/2009,115,159,0,74,5,52
2/1/2009,119,149,0,69,5,53
3/1/2009,128,142,3,69,5,52
4/1/2009,125,150,0,77,5,62
5/1/2009,126,155,2,81,5,75
6/1/2009,110,161,6,83,5,103
7/1/2009,126,180,1,120,5,113
8/1/2009,123,185,2,108,5,114
9/1/2009,111,164,0,101,5,93
10/1/2009,106,154,0,89,5,72
11/1/2009,100,141,3,77,5,62
12/1/2009,102,140,0,76,5,55
1/1/2010,110,146,1,78,5,53
2/1/2010,115,145,5,76,5,54
3/1/2010,110,135,9,73,5,53
4/1/2010,120,147,1,88,5,63
5/1/2010,121,151,3,101,5,76
6/1/2010,133,169,5,121,5,104
7/1/2010,137,172,12,130,5,114
8/1/2010,146,163,4,117,5,115
9/1/2010,154,140,26,121,5,94
10/1/2010,115,144,5,85,5,73
11/1/2010,107,140,2,72,5,63
12/1/2010,108,138,7,74,5,56
1/1/2011,107,144,0,72,5,53
2/1/2011,108,141,0,71,5,54
3/1/2011,105,134,0,71,5,53
4/1/2011,120,129,8,77,5,64
5/1/2011,125,143,1,87,5,77
6/1/2011,128,162,0,121,5,105
7/1/2011,137,154,18,133,5,115
8/1/2011,125,147,21,115,5,116
9/1/2011,120,154,0,91,5,95
10/1/2011,99,134,0,80,5,74
11/1/2011,101,131,0,70,5,63
12/1/2011,92,129,0,67,5,56
1/1/2012,96,130,2,69,5,54
2/1/2012,92,128,0,63,5,55
3/1/2012,99,124,8,70,5,54
4/1/2012,105,129,7,83,5,64
5/1/2012,109,135,0,93,5,77
6/1/2012,122,145,2,114,5,106
7/1/2012,133,158,2,130,5,116
8/1/2012,120,157,1,113,5,117
9/1/2012,109,144,0,99,5,96
10/1/2012,106,125,5,81,5,74
11/1/2012,114,128,4,67,5,64
12/1/2012,116,118,0,65,5,57
1/1/2013,114,124,0,68,5,54
2/1/2013,107,126,0,66,5,55
3/1/2013,100,123,0,65,5,54
4/1/2013,99,109,18,76,5,65
5/1/2013,108,135,0,88,5,78
6/1/2013,116,140,3,95,5,107
7/1/2013,120,151,0,104,5,117
8/1/2013,117,145,0,102,5,118
9/1/2013,119,144,0,107,5,97
10/1/2013,112,131,0,91,5,75
11/1/2013,113,128,0,76,5,64
12/1/2013,105,123,0,73,5,57
1/1/2014,113,133,2,80,5,55
2/1/2014,107,131,1,80,5,56
3/1/2014,103,125,2,81,5,55
4/1/2014,101,130,0,84,5,65
5/1/2014,110,126,10,95,5,79
6/1/2014,117,143,0,108,5,108
7/1/2014,122,148,1,113,5,118
8/1/2014,113,140,0,109,5,119
9/1/2014,115,139,3,103,5,97
10/1/2014,109,134,0,76,5,75
11/1/2014,106,122,0,77,5,65
12/1/2014,102,125,0,70,5,58
1/1/2015,105,127,0,73,5,55
2/1/2015,112,132,2,76,5,56
3/1/2015,108,128,1,73,5,55
4/1/2015,112,131,0,76,5,66
5/1/2015,120,135,0,99,5,80
6/1/2015,120,148,0,97,5,109
7/1/2015,121,151,0,100,5,119
8/1/2015,122,153,0,116,5,120
9/1/2015,125,157,0,113,5,98
10/1/2015,120,138,0,87,5,76
11/1/2015,117,129,0,80,5,65
12/1/2015,109,119,0,78,5,58
1/1/2016,99,122,0,79,5,56
2/1/2016,100,129,0,79,5,57
3/1/2016,109,126,0,80,5,56
4/1/2016,109,127,4,90,5,66
5/1/2016,110,128,0,90,5,80
6/1/2016,115,146,1,113,5,110
7/1/2016,122,149,3,121,5,120
8/1/2016,122,152,0,124,5,121
9/1/2016,117,149,1,118,5,99
10/1/2016,111,133,0,98,5,77
11/1/2016,109,117,8,90,5,66
12/1/2016,117,33,92,88,5,59
1/1/2017,108,110,22,84,5,56
2/1/2017,103,126,6,81,5,57
3/1/2017,117,130,1,79,5,56
4/1/2017,114,138,2,86,5,67
5/1/2017,117,131,11,94,5,81
6/1/2017,129,139,18,115,5,111
7/1/2017,139,160,1,116,5,121
8/1/2017,125,149,1,104,5,122
9/1/2017,124,144,0,105,5,100
10/1/2017,128,134,1,98,5,77
11/1/2017,133,124,1,78,5,66
12/1/2017,142,118,1,79,5,59
1/1/2018,126,135,1,86,5,57
2/1/2018,113,129,0,77,5,58
3/1/2018,123,128,0,76,5,57
4/1/2018,115,131,0,86,5,67
5/1/2018,105,126,15,101,5,82
6/1/2018,106,135,11,102,5,112
7/1/2018,120,157,2,121,5,122
8/1/2018,113,152,0,107,5,123
9/1/2018,111,134,13,87,5,101
10/1/2018,109,138,1,81,5,78
11/1/2018,101,127,0,72,5,67
12/1/2018,98,122,1,69,5,60
