date,cyear,month,lfalls_nat
0,1895,2,6600.92
0,1895,3,28980.8
0,1895,4,17098.2
0,1895,5,14797.2
0,1895,6,4613.8
0,1895,7,5265.16
0,1895,8,2356.46
0,1895,9,1846.7
0,1895,10,1372.34
0,1895,11,1572.94
0,1895,12,2664.44
0,1896,1,7542.56
0,1896,2,14112.8
0,1896,3,11882.6
0,1896,4,12283.8
0,1896,5,4000.2
0,1896,6,7127.2
0,1896,7,10951.58
0,1896,8,3898.179
0,1896,9,2492.2026
0,1896,10,13645.827
0,1896,11,7860.0078
0,1896,12,5331.4308
0,1897,1,4956.8436
0,1897,2,48610.962
0,1897,3,24226.128
0,1897,4,12812.5908
0,1897,5,26825.742
0,1897,6,7088.0724
0,1897,7,6622.5168
0,1897,8,5621.4918
0,1897,9,2761.182
0,1897,10,2295.2214
0,1897,11,3515.616
0,1897,12,9567.72
0,1898,1,18451.8
0,1898,2,10666.35
0,1898,3,18194.598
0,1898,4,18106.8156
0,1898,5,21448.908
0,1898,6,5019.1002
0,1898,7,2888.7786
0,1898,8,25050.8646
0,1898,9,2855.4876
0,1898,10,15612.6366
0,1898,11,10647.504
0,1898,12,18967.122
0,1899,1,22610.34
0,1899,2,28880.712
0,1899,3,42307.218
0,1899,4,14154.318
0,1899,5,13372.1874
0,1899,6,6682.5054
0,1899,7,2963.331
0,1899,8,2780.757
0,1899,9,2915.8812
0,1899,10,1961.7228
0,1899,11,3923.0946
0,1899,12,4948.5654
1,1900,1,10098.54
32,1900,2,17674.038
61,1900,3,22654.296
92,1900,4,10754.2404
122,1900,5,5366.7792
153,1900,6,9431.0028
183,1900,7,3439.5354
214,1900,8,2256.039
245,1900,9,1553.4882
275,1900,10,1566.0756
306,1900,11,5497.6428
336,1900,12,7358.04
367,1901,1,5888.2086
398,1901,2,3807.9612
426,1901,3,17583.372
457,1901,4,46327.248
487,1901,5,30962.682
518,1901,6,21734.5896
548,1901,7,11980.251
579,1901,8,9552.9132
610,1901,9,8614.6848
640,1901,10,4979.1402
671,1901,11,5615.541
701,1901,12,30539.862
732,1902,1,21301.65
763,1902,2,31311.738
791,1902,3,64454.076
822,1902,4,33889.32
852,1902,5,6872.499
883,1902,6,3842.046
913,1902,7,3748.5774
944,1902,8,2838.3534
975,1902,9,1901.9124
1005,1902,10,4424.112
1036,1902,11,3750.8724
1066,1902,12,25036.128
1097,1903,1,22708.998
1128,1903,2,27850.176
1156,1903,3,33084.126
1187,1903,4,35601.228
1217,1903,5,7825.0212
1248,1903,6,21663.936
1278,1903,7,16688.322
1309,1903,8,6532.326
1340,1903,9,6027.2532
1370,1903,10,4060.8972
1401,1903,11,2645.4654
1431,1903,12,3831.2568
1462,1904,1,9083.5668
1493,1904,2,17719.884
1522,1904,3,14328.63
1553,1904,4,8905.6854
1583,1904,5,10582.11
1614,1904,6,11986.7688
1644,1904,7,5594.1678
1675,1904,8,3127.5288
1706,1904,9,2034.5904
1736,1904,10,1477.413
1767,1904,11,1625.1138
1797,1904,12,3061.098
1828,1905,1,11184.966
1859,1905,2,5115.501
1887,1905,3,29152.71
1918,1905,4,8088.1632
1948,1905,5,5199.579
1979,1905,6,8467.0434
2009,1905,7,12625.632
2040,1905,8,8068.572
2071,1905,9,4138.911
2101,1905,10,3842.2566
2132,1905,11,2932.2432
2162,1905,12,14141.25
2193,1906,1,18259.236
2224,1906,2,6547.9428
2252,1906,3,19996.308
2283,1906,4,27796.392
2313,1906,5,6506.244
2344,1906,6,8854.272
2374,1906,7,5083.8354
2405,1906,8,18632.592
2436,1906,9,4977.8874
2466,1906,10,19470.348
2497,1906,11,7367.1876
2527,1906,12,13804.776
2558,1907,1,32440.77
2589,1907,2,11337.489
2617,1907,3,36969.912
2648,1907,4,17282.214
2678,1907,5,12829.212
2709,1907,6,26810.46
2739,1907,7,8270.424
2770,1907,8,4477.8258
2801,1907,9,7976.3778
2831,1907,10,4247.5968
2862,1907,11,10389.6
2892,1907,12,22765.536
2923,1908,1,30037.986
2954,1908,2,30273.642
2983,1908,3,33997.698
3014,1908,4,12034.4346
3044,1908,5,39443.382
3075,1908,6,8336.736
3105,1908,7,5566.9356
3136,1908,8,4611.87
3167,1908,9,2936.5362
3197,1908,10,3291.489
3228,1908,11,3076.569
3258,1908,12,2897.5482
3289,1909,1,8364.1842
3320,1909,2,15370.236
3348,1909,3,11526.624
3379,1909,4,19696.068
3409,1909,5,10054.989
3440,1909,6,13142.844
3470,1909,7,3100.7232
3501,1909,8,2400.9264
3532,1909,9,2038.068
3562,1909,10,2475.8352
3593,1909,11,2099.4336
3623,1909,12,4207.1238
3654,1910,1,14711.274
3685,1910,2,17644.716
3713,1910,3,11900.9898
3744,1910,4,12367.62
3774,1910,5,6441.9192
3805,1910,6,29937.06
3835,1910,7,6236.4762
3866,1910,8,2369.6496
3897,1910,9,1948.617
3927,1910,10,1747.359
3958,1910,11,1652.9076
3988,1910,12,2409.6582
4019,1911,1,13961.916
4050,1911,2,13249.251
4078,1911,3,11473.191
4109,1911,4,17580.78
4139,1911,5,5039.685
4170,1911,6,4314.6648
4200,1911,7,2525.5098
4231,1911,8,4230.522
4262,1911,9,15034.086
4292,1911,10,10009.4778
4323,1911,11,7522.4268
4353,1911,12,12680.01
4384,1912,1,8907.6888
4415,1912,2,18553.644
4444,1912,3,35659.71
4475,1912,4,17614.584
4505,1912,5,22222.998
4536,1912,6,6148.6992
4566,1912,7,9849.5352
4597,1912,8,4269.8934
4628,1912,9,8600.58
4658,1912,10,3725.0496
