date,cyear,month,lfalls_nat
4689,1912,11,3916.0746
4719,1912,12,4751.2656
4750,1913,1,14724.18
4781,1913,2,7153.7202
4809,1913,3,22739.886
4840,1913,4,19405.008
4870,1913,5,15528.4614
4901,1913,6,11623.9536
4931,1913,7,4998.6396
4962,1913,8,3538.6686
4993,1913,9,2248.965
5023,1913,10,8715.762
5054,1913,11,15210.693
5084,1913,12,10390.248
5115,1914,1,23821.83
5146,1914,2,18709.218
5174,1914,3,22915.008
5205,1914,4,24256.26
5235,1914,5,11447.3088
5266,1914,6,3735.8388
5296,1914,7,3876.9624
5327,1914,8,2256.8598
5358,1914,9,1461.3372
5388,1914,10,1606.6134
5419,1914,11,1969.9362
5449,1914,12,6524.2152
5480,1915,1,34985.358
5511,1915,2,33061.608
5539,1915,3,9692.5356
5570,1915,4,5048.5572
5600,1915,5,6903.4626
5631,1915,6,23585.256
5661,1915,7,3091.8348
5692,1915,8,9738.522
5723,1915,9,7097.49
5753,1915,10,7982.6094
5784,1915,11,4428.8694
5814,1915,12,8662.896
5845,1916,1,14603.6574
5876,1916,2,18526.428
5905,1916,3,29060.262
5936,1916,4,22923.432
5966,1916,5,9094.3776
5997,1916,6,17764.596
6027,1916,7,8769.168
6058,1916,8,4252.8024
6089,1916,9,3331.3734
6119,1916,10,2911.9284
6150,1916,11,1866.537
6180,1916,12,4223.9394
6211,1917,1,11450.376
6242,1917,2,8925.849
6270,1917,3,44437.518
6301,1917,4,12936.618
6331,1917,5,6575.2074
6362,1917,6,9475.4502
6392,1917,7,5072.4252
6423,1917,8,3630.825
6454,1917,9,2061.1368
6484,1917,10,6941.16
6515,1917,11,4886.6922
6545,1917,12,2791.5732
6576,1918,1,3206.8602
6607,1918,2,35011.71
6635,1918,3,16331.652
6666,1918,4,45965.772
6696,1918,5,7346.4732
6727,1918,6,3932.793
6757,1918,7,3870.2718
6788,1918,8,3373.7742
6819,1918,9,4424.3118
6849,1918,10,1959.8328
6880,1918,11,6361.7238
6910,1918,12,15323.256
6941,1919,1,17709.408
6972,1919,2,7495.3566
7000,1919,3,15637.86
7031,1919,4,10623.5334
7061,1919,5,21306.078
7092,1919,6,8429.0706
7122,1919,7,9016.488
7153,1919,8,3742.0704
7184,1919,9,2150.7984
7214,1919,10,2921.9022
7245,1919,11,6101.5248
7275,1919,12,8411.8662
7306,1920,1,14580.9072
7337,1920,2,23772.474
7366,1920,3,39135.474
7397,1920,4,17098.236
7427,1920,5,10008.7758
7458,1920,6,9580.1724
7488,1920,7,4400.5302
7519,1920,8,8653.9104
7550,1920,9,5631.4656
7580,1920,10,3395.3418
7611,1920,11,5842.7676
7641,1920,12,11677.878
7672,1921,1,7614.4212
7703,1921,2,7329.4254
7731,1921,3,15334.11
7762,1921,4,5896.6704
7792,1921,5,25140.942
7823,1921,6,4822.9938
7853,1921,7,4867.3602
7884,1921,8,4703.5512
7915,1921,9,4510.512
7945,1921,10,2009.7018
7976,1921,11,5152.4964
8006,1921,12,13201.9362
8037,1922,1,9322.0578
8068,1922,2,20672.82
8096,1922,3,25857.684
8127,1922,4,10605.978
8157,1922,5,11193.498
8188,1922,6,8370.4752
8218,1922,7,5370.7914
8249,1922,8,2531.4768
8280,1922,9,2013.5736
8310,1922,10,1515.2022
8341,1922,11,1164.1698
8371,1922,12,2724.3054
8402,1923,1,7650.8982
8433,1923,2,14836.77
8461,1923,3,13454.154
8492,1923,4,12017.6082
8522,1923,5,6278.4288
8553,1923,6,2914.8714
8583,1923,7,2308.905
8614,1923,8,3360.2418
8645,1923,9,4569.2208
8675,1923,10,1269.3726
8706,1923,11,2386.2762
8736,1923,12,8330.8392
8767,1924,1,22726.71
8798,1924,2,10068.3918
8827,1924,3,41375.016
8858,1924,4,26866.458
8888,1924,5,47486.196
8919,1924,6,17465.544
8949,1924,7,10509.2262
8980,1924,8,3804.0732
9011,1924,9,3284.9604
9041,1924,10,8712.8838
9072,1924,11,4431.9312
9102,1924,12,5432.1516
9133,1925,1,11730.7872
9164,1925,2,28539.972
9192,1925,3,11406.0312
9223,1925,4,7005.717
9253,1925,5,12740.7762
9284,1925,6,3092.418
9314,1925,7,2713.446
9345,1925,8,1826.118
9376,1925,9,1198.395
9406,1925,10,3362.2668
9437,1925,11,8329.203
9467,1925,12,6423.435
9498,1926,1,11040.0192
9529,1926,2,28064.124
9557,1926,3,12840.4224
9588,1926,4,13574.0772
9618,1926,5,5248.5678
9649,1926,6,3086.397
9679,1926,7,3034.2384
9710,1926,8,11639.808
9741,1926,9,9562.5468
9771,1926,10,8182.2366
9802,1926,11,22270.95
9832,1926,12,15038.7408
9863,1927,1,12642.993
9894,1927,2,25607.556
9922,1927,3,16803.612
9953,1927,4,26894.052
9983,1927,5,16099.0848
10014,1927,6,10871.9766
10044,1927,7,3719.7684
10075,1927,8,3803.8572
10106,1927,9,2064.6414
10136,1927,10,15779.988
10167,1927,11,9865.3032
10197,1927,12,14371.128
10228,1928,1,7237.566
10259,1928,2,13476.618
10288,1928,3,17108.442
10319,1928,4,25542.054
10349,1928,5,24541.1856
10380,1928,6,20275.272
10410,1928,7,12219.93
10441,1928,8,7584.5322
10472,1928,9,6802.4988
10502,1928,10,3299.8266
10533,1928,11,2406.2616
10563,1928,12,5344.2666
10594,1929,1,6271.344
10625,1929,2,10208.916
10653,1929,3,29227.23
10684,1929,4,31492.638
10714,1929,5,17449.02
10745,1929,6,8236.6902
10775,1929,7,4440.8304
10806,1929,8,1744.686
10837,1929,9,1917
10867,1929,10,17723.88
10898,1929,11,15387.84
10928,1929,12,8734.068
10959,1930,1,8265.705
10990,1930,2,11361.105
11018,1930,3,13380.465
11049,1930,4,9157.05
11079,1930,5,3870.195
11110,1930,6,2673.93
11140,1930,7,1304.94
11171,1930,8,881.118
11202,1930,9,952.0035
11232,1930,10,792.1888
11263,1930,11,961.5112
11293,1930,12,1778.4
11324,1931,1,2823.619
11355,1931,2,3285.379
11383,1931,3,6461.227
11414,1931,4,16178.467
11444,1931,5,15345.219
11475,1931,6,6344.747
11505,1931,7,6172.419
11536,1931,8,4224.187
11567,1931,9,2310.691
11597,1931,10,1369.699
11628,1931,11,1080.7766
11658,1931,12,2610.939
11689,1932,1,6333.638
11720,1932,2,11972.622
11749,1932,3,17433.87
11780,1932,4,17268.198
11810,1932,5,28379.662
11841,1932,6,4011.838
11871,1932,7,3106.83
11902,1932,8,1293.954
11933,1932,9,1188.134
11963,1932,10,7014.318
11994,1932,11,20455.59
12024,1932,12,8370.998
12055,1933,1,15545.769
12086,1933,2,14497.761
12114,1933,3,25929.753
12145,1933,4,37523.361
12175,1933,5,23187.273
12206,1933,6,6272.401
12236,1933,7,5331.721
12267,1933,8,13660.977
12298,1933,9,8473.041
12328,1933,10,3735.425
12359,1933,11,2771.865
12389,1933,12,4014.769
12420,1934,1,9986.884
12451,1934,2,3169.892
12479,1934,3,12198.548
12510,1934,4,13433.236
12540,1934,5,5915.908
12571,1934,6,3854.94
12601,1934,7,1962.66
12632,1934,8,3523.908
12663,1934,9,8759.372
12693,1934,10,5313.54
12724,1934,11,3521.62
12754,1934,12,19687.172
12785,1935,1,16123.423
12816,1935,2,25064.407
12844,1935,3,18555.775
12875,1935,4,25858.239
12905,1935,5,12967.231
12936,1935,6,5240.239
12966,1935,7,4163.839
12997,1935,8,4899.119
13028,1935,9,9132.439
13058,1935,10,2252.839
13089,1935,11,7280.927
13119,1935,12,8736.407
13150,1936,1,23407.082
13181,1936,2,25048.722
13210,1936,3,77175.29
13241,1936,4,23843.986
13271,1936,5,6486.074
13302,1936,6,4515.794
13332,1936,7,3394.466
13363,1936,8,2983.25
13394,1936,9,1873.7052
13424,1936,10,5488.506
13455,1936,11,2990.3948
13485,1936,12,12525.458
13516,1937,1,36141.277
13547,1937,2,28089.805
13575,1937,3,14006.437
13606,1937,4,38171.669
13636,1937,5,15460.461
13667,1937,6,7830.397
13697,1937,7,5043.821
13728,1937,8,10086.157
13759,1937,9,6439.085
13789,1937,10,28227.293
13820,1937,11,16876.733
13850,1937,12,8807.269
13881,1938,1,8599.6
13912,1938,2,9687.232
13940,1938,3,12375.424
13971,1938,4,9534.352
14001,1938,5,10623.44
14032,1938,6,6116.392
14062,1938,7,5775.064
14093,1938,8,5272.12
14124,1938,9,2404.528
14154,1938,10,1696.496
14185,1938,11,2444.672
14215,1938,12,9897.936
14246,1939,1,8449.235
14277,1939,2,36857.771
14305,1939,3,21605.963
14336,1939,4,19788.043
14366,1939,5,8705.595
14397,1939,6,5791.099
14427,1939,7,7684.211
14458,1939,8,5492.827
14489,1939,9,1999.259
14519,1939,10,3880.931
14550,1939,11,5191.227
14580,1939,12,3164.475
14611,1940,1,3597.03
14642,1940,2,14785.87
14671,1940,3,17177.142
14702,1940,4,33613.822
14732,1940,5,11026.374
14763,1940,6,17730.11
14793,1940,7,4863.126
14824,1940,8,8206.206
14855,1940,9,8509.782
14885,1940,10,3937.734
14916,1940,11,12063.462
14946,1940,12,13897.71
14977,1941,1,12579.113
15008,1941,2,8180.849
15036,1941,3,13915.825
15067,1941,4,16928.601
15097,1941,5,4263.377
15128,1941,6,7768.177
15158,1941,7,7695.897
15189,1941,8,2614.353
15220,1941,9,1957.5722
15250,1941,10,1200.7226
15281,1941,11,1670.033
15311,1941,12,3878.369
15342,1942,1,3975.108
15373,1942,2,7262.86
15401,1942,3,13516.9
15432,1942,4,15796.996
15462,1942,5,19978.94
15493,1942,6,8606.644
15523,1942,7,4185.604
15554,1942,8,13138.132
15585,1942,9,4820.628
15615,1942,10,43345.348
15646,1942,11,10091.66
15676,1942,12,18181.3
15707,1943,1,20040.943
15738,1943,2,25935.975
15766,1943,3,22752.743
15797,1943,4,18554.679
15827,1943,5,15709.655
15858,1943,6,6820.671
15888,1943,7,4956.055
15919,1943,8,2366.975
15950,1943,9,1647.087
15980,1943,10,2006.719
16011,1943,11,3932.071
16041,1943,12,1979.159
16072,1944,1,8431.65
16103,1944,2,8275.026
16132,1944,3,28076.314
16163,1944,4,17488.386
16193,1944,5,16840.57
16224,1944,6,4857.274
16254,1944,7,2079.33
16285,1944,8,1476.858
16316,1944,9,2953.554
16346,1944,10,6179.53
16377,1944,11,2815.026
16407,1944,12,8936.882
16438,1945,1,9812.269
16469,1945,2,18795.373
16497,1945,3,20558.277
16528,1945,4,10918.829
16558,1945,5,11771.525
16589,1945,6,5446.349
16619,1945,7,4745.701
16650,1945,8,8333.805
16681,1945,9,20929.973
16711,1945,10,5366.893
16742,1945,11,8951.253
16772,1945,12,15433.365
16803,1946,1,16858.08
16834,1946,2,12771.4
16862,1946,3,18102.752
16893,1946,4,9371.64
16923,1946,5,15961.912
16954,1946,6,15084.984
16984,1946,7,4170.6
17015,1946,8,4113.088
17046,1946,9,2368.8
17076,1946,10,3563.864
17107,1946,11,2699.312
17137,1946,12,2794.472
17168,1947,1,11041.171
17199,1947,2,6164.299
17227,1947,3,12552.187
17258,1947,4,7145.331
17288,1947,5,10256.179
17319,1947,6,6784.555
17349,1947,7,6207.459
17380,1947,8,4259.539
17411,1947,9,2293.939
17441,1947,10,1537.963
17472,1947,11,5882.979
17502,1947,12,3239.923
17533,1948,1,7894.67
17564,1948,2,13896.926
17593,1948,3,18634.75
17624,1948,4,23143.67
17654,1948,5,17888.134
17685,1948,6,7807.518
17715,1948,7,5022.814
17746,1948,8,6447.198
17777,1948,9,3138.542
17807,1948,10,9351.294
17838,1948,11,11557.342
17868,1948,12,28232.494
17899,1949,1,30592.273
17930,1949,2,23730.353
17958,1949,3,12303.873
17989,1949,4,15216.809
18019,1949,5,11271.257
18050,1949,6,14171.401
18080,1949,7,19602.281
18111,1949,8,8115.273
18142,1949,9,4879.001
18172,1949,10,2735.665
18203,1949,11,5649.537
18233,1949,12,8916.177
18264,1950,1,8428.228
18295,1950,2,25213.932
18323,1950,3,18388.516
18354,1950,4,9767.02
18384,1950,5,17149.772
18415,1950,6,9991.66
18445,1950,7,3822.484
18476,1950,8,2328.94
18507,1950,9,10267.052
18537,1950,10,6570.330702
18568,1950,11,12050.26136
18598,1950,12,29441.68864
18629,1951,1,16749.25328
18660,1951,2,31450.57256
18688,1951,3,21352.10303
18719,1951,4,25574.28824
18749,1951,5,13020.39491
18780,1951,6,18283.86648
18810,1951,7,5551.004308
18841,1951,8,2977.259562
18872,1951,9,2026.905505
18902,1951,10,1558.443622
18933,1951,11,3021.834348
18963,1951,12,7792.70279
18994,1952,1,24638.19712
19025,1952,2,17839.91155
19054,1952,3,26069.96583
19085,1952,4,34136.9622
19115,1952,5,24671.06116
19146,1952,6,7483.900619
19176,1952,7,5231.707164
19207,1952,8,3608.227388
19238,1952,9,5984.508077
19268,1952,10,2331.541534
19299,1952,11,13935.25147
19329,1952,12,13094.88782
19360,1953,1,25855.81926
19391,1953,2,17229.65929
19419,1953,3,30828.81673
19450,1953,4,19193.1653
19480,1953,5,17406.42436
19511,1953,6,9361.717712
19541,1953,7,3307.722656
19572,1953,8,2482.974926
19603,1953,9,1827.404248
19633,1953,10,1407.758122
19664,1953,11,1900.318643
19694,1953,12,4087.353918
19725,1954,1,4146.075159
19756,1954,2,4675.007562
19784,1954,3,19388.59295
19815,1954,4,8657.220349
19845,1954,5,8622.576303
19876,1954,6,6168.580339
19906,1954,7,2342.864358
19937,1954,8,2696.529648
19968,1954,9,2000.210436
19998,1954,10,11256.43726
20029,1954,11,8724.355834
20059,1954,12,12407.3364
20090,1955,1,11024.90971
20121,1955,2,12511.76381
20149,1955,3,31438.34689
20180,1955,4,12803.07826
20210,1955,5,7500.224188
20241,1955,6,11998.8624
20271,1955,7,3087.271218
20302,1955,8,27805.87165
20333,1955,9,4828.830049
20363,1955,10,4198.495923
20394,1955,11,3299.018129
20424,1955,12,2404.76165
20455,1956,1,2545.239358
20486,1956,2,22964.44161
20515,1956,3,20360.95157
20546,1956,4,18074.49056
20576,1956,5,7528.90795
20607,1956,6,5957.264206
20637,1956,7,8401.201124
20668,1956,8,6310.765499
20699,1956,9,2800.926319
20729,1956,10,4536.59969
20760,1956,11,8368.947312
20790,1956,12,11405.15076
20821,1957,1,10762.36488
20852,1957,2,21902.05784
20880,1957,3,15323.20473
20911,1957,4,21204.17343
20941,1957,5,7695.460632
20972,1957,6,6072.529221
21002,1957,7,2233.731101
21033,1957,8,1255.847157
21064,1957,9,1533.470762
21094,1957,10,2645.472817
21125,1957,11,2986.01287
21155,1957,12,11561.95558
21186,1958,1,13395.9868
21217,1958,2,11832.03513
21245,1958,3,27395.41281
21276,1958,4,29066.57794
21306,1958,5,26000.4696
21337,1958,6,6476.331794
21367,1958,7,6335.108014
21398,1958,8,6998.394154
21429,1958,9,2551.278797
21459,1958,10,1951.103625
21490,1958,11,2279.561122
21520,1958,12,2345.524699
21551,1959,1,5404.766607
21582,1959,2,6812.85358
21610,1959,3,8943.339494
21641,1959,4,13008.52957
21671,1959,5,10693.22002
21702,1959,6,9041.52838
21732,1959,7,2388.520382
21763,1959,8,2414.727649
21794,1959,9,1410.634341
21824,1959,10,6795.427953
21855,1959,11,4076.13762
21885,1959,12,9169.238694
21916,1960,1,12268.08304
21947,1960,2,15482.93182
21976,1960,3,17399.60749
22007,1960,4,31663.22097
22037,1960,5,22343.68389
22068,1960,6,13476.34844
22098,1960,7,3864.124928
22129,1960,8,3422.950289
22160,1960,9,3808.397674
22190,1960,10,2053.321705
22221,1960,11,2218.31638
22251,1960,12,1814.581844
22282,1961,1,4907.185634
22313,1961,2,30910.63824
22341,1961,3,28261.78625
22372,1961,4,33051.28697
22402,1961,5,15982.84039
22433,1961,6,7574.170558
22463,1961,7,3513.444151
22494,1961,8,2658.135823
22525,1961,9,2356.344411
22555,1961,10,2629.047618
22586,1961,11,3047.592873
22616,1961,12,7625.506877
22647,1962,1,10203.85994
22678,1962,2,12818.46391
22706,1962,3,43918.54848
22737,1962,4,22772.36463
22767,1962,5,9816.280784
22798,1962,6,6782.716809
22828,1962,7,3124.461034
22859,1962,8,1797.718421
22890,1962,9,1412.942719
22920,1962,10,1742.225354
22951,1962,11,7048.15713
22981,1962,12,4031.280167
23012,1963,1,10101.97763
23043,1963,2,5364.428639
23071,1963,3,44212.45325
23102,1963,4,8572.816643
23132,1963,5,5147.755501
23163,1963,6,7085.014131
23193,1963,7,2260.418643
23224,1963,8,1495.097857
23255,1963,9,1349.300867
23285,1963,10,1101.521881
23316,1963,11,3146.890591
23346,1963,12,4539.391931
23377,1964,1,18954.0855
23408,1964,2,12126.85551
23437,1964,3,30378.86713
23468,1964,4,19262.37861
23498,1964,5,14777.4586
23529,1964,6,3200.176251
23559,1964,7,2661.199494
23590,1964,8,1583.876633
23621,1964,9,1211.097682
23651,1964,10,2682.701787
23682,1964,11,2622.150523
23712,1964,12,6207.040886
23743,1965,1,15361.15214
23774,1965,2,19316.87516
23802,1965,3,28311.62488
23833,1965,4,16887.97772
23863,1965,5,8053.083014
23894,1965,6,2759.011447
23924,1965,7,1733.896872
23955,1965,8,1421.066574
23986,1965,9,1326.784478
24016,1965,10,1823.726925
24047,1965,11,1347.693288
24077,1965,12,1477.456775
24108,1966,1,2209.476103
24139,1966,2,14028.69819
24167,1966,3,12754.58634
24198,1966,4,12529.89174
24228,1966,5,13640.53656
24259,1966,6,2791.994324
24289,1966,7,1190.185238
24320,1966,8,1020.575547
24351,1966,9,6125.798894
24381,1966,10,6848.283007
24412,1966,11,4447.772013
24442,1966,12,8156.26632
24473,1967,1,10004.88031
24504,1967,2,10779.52623
24532,1967,3,36322.01731
24563,1967,4,9545.547207
24593,1967,5,17234.72132
24624,1967,6,5172.772555
24654,1967,7,5262.485938
24685,1967,8,7082.03366
24716,1967,9,3077.76904
24746,1967,10,6139.696009
24777,1967,11,4661.719845
24807,1967,12,18459.55423
24838,1968,1,14001.27052
24869,1968,2,16278.09057
24898,1968,3,24992.16968
24929,1968,4,8762.866445
24959,1968,5,13780.35879
24990,1968,6,10958.87791
25020,1968,7,2802.153598
25051,1968,8,2225.136198
25082,1968,9,2202.706513
25112,1968,10,1808.663635
25143,1968,11,6194.173674
25173,1968,12,4452.699239
25204,1969,1,4097.262661
25235,1969,2,6948.767483
25263,1969,3,8921.2151
25294,1969,4,7590.14857
25324,1969,5,4170.690616
25355,1969,6,2395.655103
25385,1969,7,3211.407247
25416,1969,8,8987.074338
25447,1969,9,4678.910615
25477,1969,10,2520.471279
25508,1969,11,4116.175442
25538,1969,12,8263.883263
25569,1970,1,12359.39894
25600,1970,2,20922.44783
25628,1970,3,17050.57285
25659,1970,4,35241.03374
25689,1970,5,9473.202943
25720,1970,6,7009.192079
25750,1970,7,9683.424495
25781,1970,8,3945.368935
25812,1970,9,1947.885684
25842,1970,10,2150.295765
25873,1970,11,17154.11875
25903,1970,12,16426.55562
25934,1971,1,18714.574
25965,1971,2,35104.04901
25993,1971,3,21561.39182
26024,1971,4,11137.94546
26054,1971,5,16172.00237
26085,1971,6,15116.17269
26115,1971,7,3432.041209
26146,1971,8,5869.668532
26177,1971,9,7143.871173
26207,1971,10,12812.66807
26238,1971,11,8949.158285
26268,1971,12,16696.0641
26299,1972,1,10082.64796
26330,1972,2,26612.25769
26359,1972,3,27566.0369
26390,1972,4,25092.19208
26420,1972,5,25439.43062
26451,1972,6,52945.89305
26481,1972,7,17525.18821
26512,1972,8,6597.556658
26543,1972,9,2993.289308
26573,1972,10,12480.88208
26604,1972,11,21628.21466
26634,1972,12,38434.99867
26665,1973,1,17766.79485
26696,1973,2,25868.88474
26724,1973,3,18784.29964
26755,1973,4,38288.46222
26785,1973,5,19907.77073
26816,1973,6,13666.35704
26846,1973,7,5864.466965
26877,1973,8,6308.993171
26908,1973,9,4219.854958
26938,1973,10,6341.762138
26969,1973,11,7113.899896
26999,1973,12,26482.0921
27030,1974,1,25616.27725
27061,1974,2,11010.3247
27089,1974,3,11745.59695
27120,1974,4,20805.30442
27150,1974,5,10135.04561
27181,1974,6,14273.71745
27211,1974,7,4764.749042
27242,1974,8,2814.029901
27273,1974,9,3789.887278
27303,1974,10,2126.497761
27334,1974,11,2467.559484
27364,1974,12,15760.97167
27395,1975,1,14945.06902
27426,1975,2,21457.33232
27454,1975,3,32889.12142
27485,1975,4,15661.49566
27515,1975,5,20054.47196
27546,1975,6,11615.94709
27576,1975,7,8445.421584
27607,1975,8,4887.358354
27638,1975,9,25447.57318
27668,1975,10,18872.82494
27699,1975,11,10842.18573
27729,1975,12,7880.368008
27760,1976,1,24814.55013
27791,1976,2,15255.50834
27820,1976,3,11222.84633
27851,1976,4,11819.59343
27881,1976,5,5098.790279
27912,1976,6,6571.610799
27942,1976,7,3862.124614
27973,1976,8,3038.566226
28004,1976,9,2364.884438
28034,1976,10,36697.71232
28065,1976,11,10641.8747
28095,1976,12,9783.090476
28126,1977,1,3894.733193
28157,1977,2,6478.66894
28185,1977,3,22352.05369
28216,1977,4,21597.84638
28246,1977,5,4775.538897
28277,1977,6,2734.528312
28307,1977,7,2207.048526
28338,1977,8,1723.696347
28369,1977,9,1481.325847
28399,1977,10,2597.576015
28430,1977,11,14129.40003
28460,1977,12,20592.60298
28491,1978,1,23752.84393
28522,1978,2,10405.8161
28550,1978,3,42846.53928
28581,1978,4,15417.77214
28611,1978,5,29165.89097
28642,1978,6,6502.205604
28672,1978,7,8973.088004
28703,1978,8,11030.41166
28734,1978,9,3626.878905
28764,1978,10,2024.369988
28795,1978,11,2318.011961
28825,1978,12,10398.59451
28856,1979,1,29452.74533
28887,1979,2,30346.89502
28915,1979,3,35490.95657
28946,1979,4,17695.39004
28976,1979,5,15872.17582
29007,1979,6,13188.76076
29037,1979,7,5953.517571
29068,1979,8,5489.560877
29099,1979,9,20358.38777
29129,1979,10,31365.3902
29160,1979,11,17278.87336
29190,1979,12,12240.05214
29221,1980,1,16923.75796
29252,1980,2,8084.81579
29281,1980,3,23001.83938
29312,1980,4,29687.41358
29342,1980,5,23742.49021
29373,1980,6,7858.540051
29403,1980,7,4693.598347
29434,1980,8,3745.711804
29465,1980,9,1985.227346
29495,1980,10,1913.484063
29526,1980,11,3765.689933
29556,1980,12,3621.249133
29587,1981,1,2002.285794
29618,1981,2,13383.27637
29646,1981,3,7387.629967
29677,1981,4,12988.78418
29707,1981,5,9833.010754
29738,1981,6,12618.1139
