Year,Month,Day,"Lfalls flow, mgd"
1929,10,1,1729
1929,10,2,9954
1929,10,3,17041
1929,10,4,7876
1929,10,5,26580
1929,10,6,33580
1929,10,7,15590
1929,10,8,8910
1929,10,9,6556
1929,10,10,4727
1929,10,11,3811
1929,10,12,2934
1929,10,13,2702
1929,10,14,2539
1929,10,15,2714
1929,10,16,2586
1929,10,17,1943
1929,10,18,1796
1929,10,19,1663
1929,10,20,1373
1929,10,21,1379
1929,10,22,1587
1929,10,23,10439
1929,10,24,18440
1929,10,25,70407
1929,10,26,32515
1929,10,27,19224
1929,10,28,13150
1929,10,29,9113
1929,10,30,7119
1929,10,31,5947
1929,11,1,5020
1929,11,2,4521
1929,11,3,5565
1929,11,4,8650
1929,11,5,7969
1929,11,6,10585
1929,11,7,12741
1929,11,8,12411
1929,11,9,9371
1929,11,10,7779
1929,11,11,6506
1929,11,12,5448
1929,11,13,4615
1929,11,14,4354
1929,11,15,4299
1929,11,16,4222
1929,11,17,4163
1929,11,18,14024
1929,11,19,9536
1929,11,20,7941
1929,11,21,28495
1929,11,22,36653
1929,11,23,21253
1929,11,24,14321
1929,11,25,10804
1929,11,26,8076
1929,11,27,6627
1929,11,28,5634
1929,11,29,5446
1929,11,30,5073
1929,12,1,4779
1929,12,2,4621
1929,12,3,4427
1929,12,4,3716
1929,12,5,3645
1929,12,6,3824
1929,12,7,4195
1929,12,8,4547
1929,12,9,4734
1929,12,10,4581
1929,12,11,4469
1929,12,12,4278
1929,12,13,4576
1929,12,14,4903
1929,12,15,4693
1929,12,16,4468
1929,12,17,4755
1929,12,18,6536
1929,12,19,7073
1929,12,20,6580
1929,12,21,5658
1929,12,22,4905
1929,12,23,4634
1929,12,24,4595
1929,12,25,4717
1929,12,26,4544
1929,12,27,4554
1929,12,28,4650
1929,12,29,6031
1929,12,30,6285
1929,12,31,7331
1930,1,1,12027
1930,1,2,13230
1930,1,3,11809
1930,1,4,10063
1930,1,5,8604
1930,1,6,7710
1930,1,7,7119
1930,1,8,6726
1930,1,9,6110
1930,1,10,5661
1930,1,11,5218
1930,1,12,5093
1930,1,13,4831
1930,1,14,5098
1930,1,15,6236
1930,1,16,5109
1930,1,17,5227
1930,1,18,5096
1930,1,19,4420
1930,1,20,4106
1930,1,21,3805
1930,1,22,3292
1930,1,23,2965
1930,1,24,3202
1930,1,25,3397
1930,1,26,3102
1930,1,27,3197
1930,1,28,3245
1930,1,29,3516
1930,1,30,3143
1930,1,31,3199
1930,2,1,3289
1930,2,2,3055
1930,2,3,3047
1930,2,4,4073
1930,2,5,8378
1930,2,6,9087
1930,2,7,9218
1930,2,8,15702
1930,2,9,15402
1930,2,10,12278
1930,2,11,10276
1930,2,12,8785
1930,2,13,8190
1930,2,14,9031
1930,2,15,7371
1930,2,16,6826
1930,2,17,6781
1930,2,18,6747
1930,2,19,6516
1930,2,20,5911
1930,2,21,5852
1930,2,22,5389
1930,2,23,5230
1930,2,24,5183
1930,2,25,5323
1930,2,26,5323
1930,2,27,6007
1930,2,28,5816
1930,3,1,5932
1930,3,2,5687
1930,3,3,5271
1930,3,4,4957
1930,3,5,4498
1930,3,6,4065
1930,3,7,4263
1930,3,8,17567
1930,3,9,21808
1930,3,10,18363
1930,3,11,15221
1930,3,12,13405
1930,3,13,11779
1930,3,14,10473
1930,3,15,9388
1930,3,16,8344
1930,3,17,7526
1930,3,18,6940
1930,3,19,7166
1930,3,20,6805
1930,3,21,7133
1930,3,22,6929
1930,3,23,6000
1930,3,24,5519
1930,3,25,5092
1930,3,26,5355
1930,3,27,5185
1930,3,28,4947
1930,3,29,4391
1930,3,30,4396
1930,3,31,4119
1930,4,1,3795
1930,4,2,3980
1930,4,3,3976
1930,4,4,3860
